name,position,hs,fv,risk
Rodney Green,OF,0,35,20
Ty Southisene,SS,1,35,20
Jared Thomas,OF,0,40,20
Kavares Tears,OF,0,40,20
Jalin Flores,SS,0,40,20
Luke Sinnard,RHP,0,40,20
Ryan Forcucci,RHP,0,40,20
Daniel Eagen,RHP,0,40,20
Griffin Burkholder,CF,1,40,20
Tyler Bell,SS,1,40,20
Luke Hayden,RHP,0,40,20
Bryce Meccage,RHP,1,40,20
Chase Mobley,RHP,1,40,20
Christian Moore,IF,0,45,20
Walker Janek,C,0,45,20
Malcolm Moore,C,0,45,20
Cam Caminiti,LHP,1,45,20
Kash Mayfield,LHP,1,45,20
Dasan Hill,LHP,1,45,20
Kellon Lindsey,SS,1,45,20
Wyatt Sanford,SS,1,45,20
Tyson Lewis,SS,1,45,20
Owen Hall,RHP,1,45,20
Charlie Condon,IF,0,50,20
Jac Caglianone,OF,0,50,20
Chase Burns,RHP,0,50,20
Billy Amick,IF,0,37.5,20
Dylan Dreiling,OF,0,37.5,20
Khadim Diaw,C,0,37.5,20
Austin Overn,CF,0,37.5,20
Zach Ehrhard,OF,0,37.5,20
Dakota Jordan,CF,0,37.5,20
Brandon Clarke,LHP,0,37.5,20
Blake Larson,LHP,1,37.5,20
Nate Dohm,RHP,0,37.5,20
Braylon Payne,CF,1,37.5,20
Dante Nori,OF,1,37.5,20
Ivan Luciano,C,1,37.5,20
Cobb Hightower,SS,1,37.5,20
Ronny Cruz,SS,1,37.5,20
Nathan Flewelling,C,1,37.5,20
Chase Harlan,IF,1,37.5,20
Eddie Rynders,SS,1,37.5,20
Jay Abernathy,SS,1,37.5,20
James Nunnalee,C,1,37.5,20
Zach Dueñas,RHP,0,37.5,20
Grant Shepardson,RHP,1,37.5,20
Connor Gatwood,RHP,1,37.5,20
Vance Honeycutt,CF,0,42.5,20
Caleb Lomavita,C,0,42.5,20
David Hagaman,RHP,0,42.5,20
Bryce Cunningham,RHP,0,42.5,20
PJ Morlando,OF,1,42.5,20
Joey Oakie,RHP,1,42.5,20
Dax Whitney,RHP,1,42.5,20
