name,position,hs,fv,risk
Carson Wiggins,RHP,1,42.5,20
Braden Montgomery,OF,0,47.5,20
Cam Smith,IF,0,47.5,20
Brody Brecht,RHP,0,47.5,20
Konnor Griffin,OF,1,47.5,20
Bryce Rainer,SS,1,47.5,20
William Schmidt,RHP,1,47.5,20
Cole Messina,C,0,35,80
Nick McLain,IF,0,35,80
Gage Miller,IF,0,35,80
Ryan Campos,C,0,35,80
Jackson Kent,LHP,0,35,80
Rafe Schlesinger,LHP,0,35,80
Brian Holiday,RHP,0,35,80
Brandon Neely,RHP,0,35,80
Gage Ziehl,RHP,0,35,80
Griff O'Ferrall,SS,0,40,80
Kevin Bazzell,C,0,40,80
Boston Bateman,LHP,1,40,80
Ethan Schiefelbein,LHP,1,40,80
Hunter Cranton,RHP,0,40,80
James Tibbs III,OF,0,45,80
Travis Bazzana,IF,0,50,80
JJ Wetherholt,IF,0,50,80
Cole Mathis,1B,0,37.5,80
Emilian Pitre,IF,0,37.5,80
John Spikerman,SS,0,37.5,80
Casey Cook,OF,0,37.5,80
Peyton Stovall,IF,0,37.5,80
Payton Tolle,LHP,0,37.5,80
Ryan Prager,LHP,0,37.5,80
Johnny King,LHP,1,37.5,80
Kyle Debarge,SS,0,42.5,80
Jacob Cozart,C,0,42.5,80
Blake Wright,IF,0,35,50
Casey Saucke,OF,0,35,50
Fenwick Trimble,CF,0,35,50
Austin Gordon,RHP,0,35,50
Blake Burke,1B,0,40,50
Mike Sirota,CF,0,40,50
Sean Keys,IF,0,40,50
Jonathan Santucci,LHP,0,40,50
Josh Hartle,LHP,0,40,50
David Shields,LHP,1,40,50
Ben Hess,RHP,0,40,50
Khal Stephen,RHP,0,40,50
Aiden May,RHP,0,40,50
Luke Holman,RHP,0,40,50
Ryan Johnson,RHP,0,40,50
Thatcher Hurd,RHP,0,40,50
Michael Massey,RHP,0,40,50
Tyson Neighbors,RHP,0,40,50
JD Dix,SS,1,40,50
Levi Sterling,RHP,1,40,50
Chris Levonas,RHP,1,40,50
Nick Kurtz,1B,0,45,50
Carson Benge,OF,0,45,50
Ryan Waldschmidt,OF,0,45,50
Trey Yesavage,RHP,0,45,50
Carter Johnson,SS,1,45,50
Braylon Doughty,RHP,1,45,50
Ryan Sloan,RHP,1,45,50
Hagen Smith,LHP,0,50,50
Ethan Anderson,C,0,37.5,50
Josh Kuroda-Grauer,IF,0,37.5,50
Eli Serrano III,OF,0,37.5,50
Josh Caron,C,0,37.5,50
Carter Holton,LHP,0,37.5,50
Gage Jump,LHP,0,37.5,50
Mason Russell,LHP,1,37.5,50
Drew Beam,RHP,0,37.5,50
Josh Randall,RHP,0,37.5,50
Jaron DeBerry,RHP,0,37.5,50
L.P. Langevin,RHP,0,37.5,50
Caleb Bonemer,IF,1,37.5,50
Luke Dickerson,IF,1,37.5,50
Mason Marriott,RHP,0,37.5,50
Dennis Colleran,RHP,0,37.5,50
Brock Moore,RHP,0,37.5,50
Kaelen Culpepper,SS,0,42.5,50
Tommy White,IF,0,42.5,50
Chris Cortez,RHP,0,42.5,50
Slade Caldwell,CF,1,42.5,50
Jurrangelo Cijntje,LHP,0,42.5,50
Seaver King,SS,0,47.5,50
Theo Gillen,CF,1,47.5,50
Marco Dinges,C,0,35,20
Carter Mathison,OF,0,35,20
Nate Knowles,RHP,0,35,20
Parker Smith,RHP,0,35,20
Jackson Wentworth,RHP,0,35,20
Trey Snyder,SS,1,35,20
Carson DeMartini,SS,0,37.5,20
Ryan Stafford,C,0,37.5,20
Braden Davis,LHP,0,37.5,20
Tytus Cissell,SS,1,37.5,20
Kale Fountain,IF,1,37.5,20
Cole Hertzler,RHP,0,37.5,20
Nick Montgomery,C,1,37.5,20
Jaime Ferrer,OF,0,30,20
Nick Mitchell,OF,0,30,20
Sam Antonacci,IF,0,30,20
Randal Diaz,SS,0,30,20
Will Taylor,OF,0,30,20
Jack Penney,SS,0,30,20
Jakob Christian,OF,0,30,20
Ariel Armas,C,0,30,20
Caden Kendle,OF,0,30,20
Jakob Wright,LHP,0,30,20
Herick Hernandez,LHP,0,30,20
Tristan Smith,LHP,0,30,20
Chase Allsup,RHP,0,30,20
Clark Candiotti,RHP,0,30,20
Sam Stuhr,RHP,0,30,20
A.J. Causey,RHP,0,30,20
Lebarron Johnson Jr.,RHP,0,30,20
Aidan Major,RHP,0,30,20
Greysen Carter,RHP,0,30,20
Charlie Beilenson,RHP,0,30,20
John Holobetz,RHP,0,30,20
Jacob Kmatz,RHP,0,30,20
Devin Fitz-Gerald,SS,1,30,20
Connor Foley,RHP,0,30,20
Dylan Jordan,RHP,1,30,20
