name,position,hs,fv,risk
Steven Echavarria,RHP,1,42.5,20
James Ellwanger,RHP,1,42.5,20
Liam Peterson,RHP,1,42.5,20
Joey Volchko,RHP,1,42.5,20
Alex Clemmey,LHP,1,42.5,20
Cameron Johnson,LHP,1,42.5,20
Noble Meyer,RHP,1,47.5,20
Barrett Kent,RHP,1,37.5,50
Cameron Tilly,RHP,1,37.5,50
Paul Wilson,LHP,1,37.5,50
