name,position,hs,fv,risk
Steven Hajjar,LHP,0,42.5,50
Jackson Merrill,SS,1,40,20
Edwin Arroyo,SS,1,40,20
James Wood,1B,1,40,20
Carter Jensen,C,1,40,20
Ian Moller,C,1,40,20
T.J. White,CF,1,40,20
Benny Montgomery,CF,1,45,20
Harry Ford,C,1,45,20
Joshua Baez,OF,1,45,20
Marcelo Mayer,SS,1,50,20
Kahlil Watson,SS,1,50,20
Cameron Cauley,SS,1,37.5,20
Jordan Viars,CF,1,37.5,20
Tyler Whitaker,OF,1,37.5,20
Jordan McCants,SS,1,37.5,20
Jake Fox,SS,1,37.5,20
Ryan Spikes,IF,1,37.5,20
Alex Ulloa,IF,1,37.5,20
Colson Montgomery,SS,1,42.5,20
Max Muncy,SS,1,42.5,20
Jay Allen,OF,1,42.5,20
Joe Mack,C,1,42.5,20
Cooper Kinney,IF,1,42.5,20
Wes Kath,SS,1,42.5,20
"Lonnie, Jr. White",CF,1,42.5,20
Will Taylor,SS,1,42.5,20
Brady House,IF,1,47.5,20
Izaac Pacheco,IF,1,40,50
Daylen Lile,OF,1,40,50
Alex Mooney,SS,1,40,50
Davis Diaz,SS,1,40,50
Peyton Stovall,IF,1,40,50
Jordan Lawlar,SS,1,50,50
Noah Miller,SS,1,42.5,50
James Triantos,SS,1,42.5,50
Mason Albright,LHP,1,35,20
Drew Gray,LHP,1,40,20
Josh Hartle,LHP,1,40,20
Jac Caglianone,LHP,1,40,20
Michael Morales,RHP,1,40,20
Peter Heubeck,RHP,1,40,20
Micah Ottenbreit,RHP,1,40,20
Alec Willis,RHP,1,40,20
Chase Burns,RHP,1,40,20
Caedmon Parker,RHP,1,40,20
Andrew Painter,RHP,1,45,20
Brock Selvidge,LHP,1,37.5,20
Adam Shoemaker,LHP,1,37.5,20
Eduardo Rivera,LHP,1,37.5,20
Calvin Ziegler,RHP,1,37.5,20
Jacob Steinmetz,RHP,1,37.5,20
Owen Kellington,RHP,1,37.5,20
Elmer Rodriguez-Cruz,RHP,1,37.5,20
Tanner McDougal,RHP,1,37.5,20
Jose Pena,RHP,1,37.5,20
A.J. Smith-Shawer,RHP,1,37.5,20
Frank Mozzicato,LHP,1,42.5,20
Maddux Bruns,LHP,1,42.5,20
Anthony Solometo,LHP,1,42.5,20
Gage Jump,LHP,1,42.5,20
Chase Petty,RHP,1,42.5,20
Ben Kudrna,RHP,1,42.5,20
Thatcher Hurd,RHP,1,42.5,20
Jackson Jobe,RHP,1,47.5,20
Shane Panzini,RHP,1,40,80
Eric Silva,RHP,1,37.5,50
Irv Carter,RHP,1,37.5,50
Ricky Tiedemann,LHP,0,40,20
