name,position,hs,fv,risk
Bubba Chandler,RHP,1,45,20
Carson Williams,SS,1,42.5,20
Braden Montgomery,SS,1,42.5,20
Spencer Schwellenbach,RHP,0,42.5,50
Parker Chavers,CF,0,35,20
Peyton Wilson,IF,0,40,20
Jose Torres,SS,0,40,20
Hunter Goodman,C,0,40,20
Denzel Clarke,CF,0,40,20
Max Ferguson,IF,0,40,20
Isaiah Thomas,CF,0,40,20
Ethan Wilson,OF,0,45,20
John Rhodes,IF,0,37.5,20
Cal Conley,IF,0,37.5,20
Reed Trimble,CF,0,42.5,20
Mike Antico,CF,0,35,80
Parker Bates,OF,0,35,80
Ryan Bliss,IF,0,40,80
Zack Gelof,IF,0,40,80
Donta Williams,CF,0,40,80
Niko Kavadas,1B,0,40,80
Matt McLain,SS,0,45,80
Colton Cowser,CF,0,50,80
Kyle Mazardo,1B,0,37.5,80
Tanner Allen,OF,0,37.5,80
Jackson Glenn,IF,0,37.5,80
Caleb Roberts,C,0,37.5,80
Alex Binelas,IF,0,42.5,80
Liam Spence,SS,0,35,50
Trey Sweeney,IF,0,40,50
Ryan Holgate,OF,0,40,50
Luca Tresh,C,0,40,50
Cody Morissette,SS,0,45,50
Henry Davis,C,0,50,50
Branden Boissiere,OF,0,37.5,50
Tyler Black,IF,0,42.5,50
Matheu Nelson,C,0,42.5,50
Aaron Zavala,IF,0,42.5,50
Jud Fabian,CF,0,42.5,50
Connor Norby,IF,0,42.5,50
Adrian Del Castillo,C,0,42.5,50
Tyler McDonough,IF,0,42.5,50
Christian Franklin,CF,0,42.5,50
Sal Frelick,CF,0,47.5,50
Brooks Gosswein,LHP,0,35,20
Russell Smith,LHP,0,40,20
Joe Rock,LHP,0,40,20
Sean Burke,RHP,0,40,20
Bryce Miller,RHP,0,40,20
Sam Bachman,RHP,0,45,20
Ryan Cusick,RHP,0,45,20
Kumar Rocker,RHP,0,50,20
Mason Black,RHP,0,37.5,20
Nick Nastrini,RHP,0,37.5,20
Eric Cerantola,RHP,0,37.5,20
Griff McGarry,RHP,0,37.5,20
Matt Mikulski,LHP,0,42.5,20
Will Bednar,RHP,0,42.5,20
Michael McGreevy,RHP,0,42.5,20
Jaden Hill,RHP,0,42.5,20
Chad Patrick,RHP,0,35,80
Doug Nikhazy,LHP,0,40,80
Dylan Smith,RHP,0,40,80
Jordan Wicks,LHP,0,45,80
Jackson Wolf,LHP,0,37.5,80
Brendan Beck,RHP,0,37.5,80
Landon Marceaux,RHP,0,37.5,80
Luke Murphy,RHP,0,37.5,80
Tommy Mace,RHP,0,42.5,80
Dylan Dodd,LHP,0,35,50
Mason Miller,RHP,0,35,50
Thomas Farr,RHP,0,35,50
Andrew Abbott,LHP,0,40,50
McCade Brown,RHP,0,40,50
Dominic Hamel,RHP,0,40,50
Gunnar Hoglund,RHP,0,45,50
Gavin Williams,RHP,0,45,50
Ty Madden,RHP,0,45,50
Jack Leiter,RHP,0,50,50
Robert Gasser,LHP,0,37.5,50
Cade Povich,LHP,0,37.5,50
Austin Love,RHP,0,37.5,50
Kevin Kopps,RHP,0,37.5,50
Tyler Mattison,RHP,0,37.5,50
Chayce McDermott,RHP,0,37.5,50
Bryan Woo,RHP,0,37.5,50
Ryan Bergert,RHP,0,37.5,50
Kevin Abel,RHP,0,37.5,50
Chase Silseth,RHP,0,37.5,50
Ky Bush,LHP,0,42.5,50
