name,number,bonus,pct_max_bonus
Pres Cavenaugh,421,125000,0.01526251526
Bryan Rincon,422,125000,0.01526251526
Jamaliel Rosado,424,125000,0.01526251526
Tyler Cleveland,426,125000,0.01526251526
Kris Bow,430,125000,0.01526251526
Shane Murphy,431,125000,0.01526251526
Aidan Maldonado,432,125000,0.01526251526
Tommy Sacco,433,125000,0.01526251526
Jose Izarra,435,125000,0.01526251526
Nomar Diaz,436,125000,0.01526251526
Joshua Day,438,125000,0.01526251526
Josiah Sightler,440,125000,0.01526251526
Kyle Luckham,441,125000,0.01526251526
Haydn McGeary,443,125000,0.01526251526
Ben Ethridge,444,125000,0.01526251526
Javier Vaz,445,125000,0.01526251526
Patrick Pridgen,447,125000,0.01526251526
Thomas Balboni,450,125000,0.01526251526
Adam Tulloch,451,125000,0.01526251526
Troy Schreffler,452,125000,0.01526251526
Adam Serwinowski,453,125000,0.01526251526
Mark Adamiak,454,125000,0.01526251526
Blake Rambusch,456,125000,0.01526251526
Tayler Aguilar,460,125000,0.01526251526
Satchell Norman,462,125000,0.01526251526
Joey Mancini,463,125000,0.01526251526
Nick Bautista,469,125000,0.01526251526
Everett Cooper,471,125000,0.01526251526
JP Wheat,473,125000,0.01526251526
Jankel Ortiz,474,125000,0.01526251526
Cooper McKeehan,475,125000,0.01526251526
Casey Dana,478,125000,0.01526251526
Jimmy Loper,479,125000,0.01526251526
Henry Martinez,480,125000,0.01526251526
Bryce Osmond,448,129500,0.01581196581
Caeden Trenkle,274,130000,0.01587301587
Joe Adametz,417,130000,0.01587301587
Brody Jessee,303,132500,0.01617826618
Tucker Flint,388,132500,0.01617826618
Nicolas Perez,465,132500,0.01617826618
Brett Barrera,250,135000,0.01648351648
Dylan Tebrake,239,136425,0.01665750916
Jared Southard,358,137500,0.01678876679
Evan Taylor,262,140000,0.01709401709
Cory Lewis,264,140000,0.01709401709
Landon Harper,425,140000,0.01709401709
Mike Walsh,260,147500,0.01800976801
Jack Pineda,355,147500,0.01800976801
Chris Newell,405,147500,0.01800976801
Jared Poland,172,149000,0.01819291819
Will Rudy,162,150000,0.01831501832
J.P. Massey,200,150000,0.01831501832
Mark McLaughlin,221,150000,0.01831501832
Jake Miller,237,150000,0.01831501832
Wyatt Cheney,287,150000,0.01831501832
Drew Sommers,344,150000,0.01831501832
Michael Curialle,367,150000,0.01831501832
Tayden Hall,282,157500,0.01923076923
Andrew Jenkins,267,162900,0.01989010989
Brad Cumbest,266,163300,0.01993894994
Zach Agnos,296,165000,0.02014652015
Maxwell Romero,261,165700,0.02023199023
Nate Peterson,252,167500,0.02045177045
Paul Gervase,359,170000,0.02075702076
Sonny DiChiara,148,172500,0.02106227106
A.J. Blubaugh,223,172500,0.02106227106
Cade Winquest,247,174600,0.02131868132
Yeniel Laboy,214,175000,0.02136752137
Cy Nielson,230,175000,0.02136752137
Davison Palermo,236,175000,0.02136752137
Kohl Drake,319,175000,0.02136752137
Nick Peoples,351,175000,0.02136752137
Chandler Arnold,397,175000,0.02136752137
Brady Hill,446,175000,0.02136752137
Chris McElvain,243,175700,0.02145299145
Rhylan Thomas,329,180000,0.02197802198
Dom Johnson,387,180000,0.02197802198
Wesley Scott,235,184000,0.02246642247
Hayden Birdsong,196,187500,0.02289377289
Chance Huff,231,191700,0.02340659341
Adrian Rodriguez,228,196000,0.02393162393
Cameron Weston,227,197400,0.0241025641
Nolan DeVos,163,197500,0.02411477411
Peyton Williams,218,197500,0.02411477411
Chris Campos,225,197500,0.02411477411
Blake Robertson,224,198900,0.02428571429
Brennan Milone,184,200000,0.02442002442
Eric Adler,191,200000,0.02442002442
Nick Vogt,210,200000,0.02442002442
Trey Faltine,213,200000,0.02442002442
Mason McGwire,233,200000,0.02442002442
Connor Noland,263,200000,0.02442002442
Nolan Perry,368,200000,0.02442002442
Sammy Hernandez,428,200000,0.02442002442
Cam Schlittler,220,205000,0.02503052503
Luis Rujano,383,210000,0.02564102564
Alex Iadisernia,217,212000,0.02588522589
Caleb Ricketts,212,218800,0.02671550672
Ben Ross,144,220000,0.02686202686
Tyler Stuart,179,220000,0.02686202686
Mason Fluharty,158,222500,0.02716727717
Zach Maxwell,183,222500,0.02716727717
Will Mabrey,168,225000,0.02747252747
Jacob Burke,341,225000,0.02747252747
Jonah Tong,209,226000,0.02759462759
Victor Mederos,178,227750,0.02780830281
Will Frisch,173,228000,0.02783882784
Mack Anglin,205,231100,0.02821733822
Kody Huff,206,231600,0.02827838828
Omari Daniel,414,232800,0.02842490842
Kyle Jones,204,235600,0.02876678877
Cedric De Grandpre,395,237500,0.028998779
Riley Cornelio,201,241600,0.0294993895
Jalen Battles,164,247500,0.03021978022
Mavis Graves,182,247500,0.03021978022
Jorel Ortega,174,250000,0.03052503053
Jakob Marsee,180,250000,0.03052503053
Josh Hood,186,250000,0.03052503053
Luis Ramirez,199,250000,0.03052503053
Luke Young,321,250000,0.03052503053
Ryan Harvey,340,250000,0.03052503053
Jack Perkins,154,270750,0.03305860806
Chase Meidroth,129,272500,0.03327228327
Jackson Fristoe,370,272500,0.03327228327
Guy Lipscomb,151,275000,0.03357753358
Dylan DeLucia,181,275000,0.03357753358
Tyler Gough,276,275000,0.03357753358
Luke Adams,372,282500,0.03449328449
Danny Serretti,177,293900,0.03588522589
Nate Furman,121,300000,0.03663003663
Hayden Dunhurst,175,300000,0.03663003663
Michael Prosecky,176,300000,0.03663003663
Seth Stephenson,207,300000,0.03663003663
Douglas Hodo,167,305000,0.03724053724
Derek Diamond,170,311600,0.03804639805
Andrew Pintar,138,316950,0.0386996337
Liam Simon,166,317500,0.03876678877
Sam Bower,346,317500,0.03876678877
Orion Kerkering,152,322500,0.03937728938
Sean McLain,165,322900,0.03942612943
Nathan Martorella,150,325000,0.03968253968
Noah Dean,159,325000,0.03968253968
Tyler Schweitzer,161,325000,0.03968253968
Preston Johnson,197,325000,0.03968253968
Chris Villaman,284,325000,0.03968253968
Eric Reyzelman,160,340700,0.0415995116
Matthew Wood,132,347500,0.04242979243
Spencer Miles,136,347500,0.04242979243
Tres Gonzalez,140,347500,0.04242979243
Victor Scott,157,350400,0.04278388278
Cade Hunter,153,362100,0.04421245421
Nathaniel Ochoa Leyva,171,375000,0.04578754579
D'Andre Smith,149,379400,0.04632478632
Nick Biddison,135,382500,0.0467032967
Brandon Birdsell,143,385000,0.04700854701
Luke Gold,147,386900,0.04724053724
Hunter Patteson,145,394500,0.04816849817
Dominic Keegan,134,397500,0.04853479853
Kyle Nevin,345,397500,0.04853479853
Trace Bright,137,400000,0.04884004884
Connor Staine,146,400000,0.04884004884
Spencer Giesting,318,400000,0.04884004884
David Sandlin,325,400000,0.04884004884
Isaiah Lowe,330,400000,0.04884004884
Ben Brutti,333,405000,0.04945054945
Josh White,142,406500,0.04963369963
Kenya Huggins,123,407500,0.04975579976
Jared McKenzie,141,410500,0.05012210012
Chandler Pollard,139,418500,0.0510989011
Demetrio Crisantes,198,425000,0.05189255189
Zack Showalter,317,440000,0.05372405372
Trey Dombroski,133,443900,0.0542002442
Dalton Rogers,99,447500,0.05463980464
Tommy Specht,169,450000,0.05494505495
Jordan Sprinkle,131,452900,0.0552991453
Anthony Hall,130,456500,0.05573870574
Jimmy Crooks,127,470300,0.05742368742
David McCabe,125,476400,0.05816849817
Michael Knorr,103,487500,0.05952380952
Jacob Watters,124,491750,0.06004273504
Alan Roden,98,497500,0.06074481074
Ignacio Alvarez,155,497500,0.06074481074
Chase Hampton,190,497500,0.06074481074
Andrew Morris,114,500000,0.06105006105
Steven Zobac,115,500000,0.06105006105
Lamar King,120,502800,0.06139194139
Marcus Johnson,112,510000,0.06227106227
Troy Melton,117,517900,0.06323565324
Bryce Hubbart,94,522500,0.0637973138
William Kempner,106,525000,0.0641025641
Ryan Ritter,116,530000,0.06471306471
Dylan Ray,108,565800,0.06908424908
Silas Ardoin,107,571400,0.06976800977
Alex McFarlane,122,575000,0.07020757021
Alex Freeland,105,580200,0.07084249084
