name,position,hs,fv,risk
Colby Thomas,OF,0,35,20
Ryan Ritter,SS,0,35,20
Alex Williams,LHP,0,35,20
Troy Melton,RHP,0,35,20
Lamar King Jr.,C,1,35,20
Jaxon Jordan,RHP,0,35,20
A.J. Izzi,RHP,1,35,20
Justin Boyd,CF,0,35,80
Jimmy Crooks III,C,0,35,80
Trey Dombroski,LHP,0,35,80
Nick Biddison,OF,0,35,50
Dylan Ray,RHP,0,35,50
Steven Zobac,RHP,0,35,50
Nick Morabito,OF,1,35,50
Jaycob Deese,RHP,0,35,50
Kyle Ayers,RHP,0,35,50
Spencer Miles,RHP,0,35,20
Ivan Melendez,1B,0,40,20
Logan Tanner,C,0,40,20
Jacob Melton,CF,0,40,20
Chandler Simpson,IF,0,40,20
Drake Baldwin,C,0,40,20
Andrew Pintar,IF,0,40,20
Hayden Dunhurst,C,0,40,20
Carter Young,SS,0,40,20
Reggie Crawford,LHP,0,40,20
Peyton Pallette,RHP,0,40,20
Ben Joyce,RHP,0,40,20
Jake Madden,RHP,0,40,20
Kenya Huggins,RHP,0,40,20
Christopher Paciolla,IF,1,40,20
Jared Jones,C,1,40,20
AJ Shepard,C,1,40,20
Nazier Mule,RHP,1,40,20
Sam Horn,RHP,1,40,20
Jack O'Connor,RHP,1,40,20
Trey Lipscomb,IF,0,40,80
Jordan Sprinkle,IF,0,40,80
Brycen Mautz,LHP,0,40,80
Jordan Beck,OF,0,40,50
Max Wagner,IF,0,40,50
Tanner Schobel,SS,0,40,50
Joe Lampe,CF,0,40,50
Luke Gold,IF,0,40,50
Kamren James,IF,0,40,50
Hunter Barco,LHP,0,40,50
Michael Kennedy,LHP,1,40,50
Thomas Harrington,RHP,0,40,50
Blake Burkhalter,RHP,0,40,50
Henry Williams,RHP,0,40,50
Trystan Vrieling,RHP,0,40,50
Jonathan Cannon,RHP,0,40,50
Michael Knorr,RHP,0,40,50
Jacob Watters,RHP,0,40,50
Brandon Birdsell,RHP,0,40,50
Sal Stewart,IF,1,40,50
Andrew Walters,RHP,0,40,50
Daniel Susac,C,0,45,20
Spencer Jones,OF,0,45,20
Eric Brown Jr.,IF,0,45,20
Dylan Beavers,OF,0,45,20
Dalton Rushing,C,0,45,20
Jud Fabian,CF,0,45,20
Cade Hunter,C,0,45,20
Connor Prielipp,LHP,0,45,20
Brandon Barriera,LHP,1,45,20
Jackson Ferris,LHP,1,45,20
Justin Campbell,RHP,0,45,20
Blade Tidwell,RHP,0,45,20
Jacob Misiorowski,RHP,0,45,20
Malcolm Moore,1B,1,45,20
JR Ritchie,RHP,1,45,20
Drew Gilbert,CF,0,45,80
Josh Kasevich,IF,0,45,80
Cooper Hjerpe,LHP,0,45,80
Parker Messick,LHP,0,45,80
Carson Whisenhunt,LHP,0,45,80
Cole Young,SS,1,45,80
Gavin Cross,CF,0,45,50
Jace Jung,IF,0,45,50
Chase DeLauter,OF,0,45,50
Tyler Locklear,1B,0,45,50
Robert Moore,IF,0,45,50
Gabriel Hughes,RHP,0,45,50
Drew Thorpe,RHP,0,45,50
Jett Williams,CF,1,45,50
Mikey Romero,SS,1,45,50
Owen Murphy,RHP,1,45,50
Kevin Parada,OF,0,50,20
Dylan Lesko,RHP,1,50,20
Jacob Berry,IF,0,50,50
Zach Neto,IF,0,50,50
Termarr Johnson,IF,1,55,20
Brooks Lee,SS,0,55,50
Jackson Holliday,SS,1,55,50
Druw Jones,CF,1,60,20
Brock Jones,OF,0,37.5,20
Ryan Cermak,OF,0,37.5,20
Dylan O'Rae,IF,0,37.5,20
Matt Wood,C,0,37.5,20
Nathan Martorella,1B,0,37.5,20
Collin Price,C,0,37.5,20
Christopher Campos,SS,0,37.5,20
Kordell Brown,SS,0,37.5,20
Colby Backus,OF,0,37.5,20
Nate Savino,LHP,0,37.5,20
Noah Dean,LHP,0,37.5,20
Tristan Smith,LHP,1,37.5,20
Levi Huesman,LHP,1,37.5,20
Jack Brannigan,RHP,0,37.5,20
Andrew Taylor,RHP,0,37.5,20
Nolan McLean,RHP,0,37.5,20
William Kempner,RHP,0,37.5,20
Alex McFarlane,RHP,0,37.5,20
Trace Bright,RHP,0,37.5,20
Will Rudy,RHP,0,37.5,20
Victor Mederos,RHP,0,37.5,20
Tyler Stuart,RHP,0,37.5,20
JP Massey,RHP,0,37.5,20
Mack Anglin,RHP,0,37.5,20
Cutter Coffey,SS,1,37.5,20
Henry Bolte,OF,1,37.5,20
Roman Anthony,OF,1,37.5,20
Brenner Cox,OF,1,37.5,20
Jacob Reimer,IF,1,37.5,20
Austin Charles,IF,1,37.5,20
Cade Halemanu,RHP,0,37.5,20
Jackson Cox,RHP,1,37.5,20
Cole Phillips,RHP,1,37.5,20
Karson Milbrandt,RHP,1,37.5,20
Seth Keller,RHP,1,37.5,20
Gary Gill Hill,RHP,1,37.5,20
Jonah Tong,RHP,1,37.5,20
Javier Santos,RHP,1,37.5,20
Jacob Zibin,RHP,1,37.5,20
Chase Shores,RHP,1,37.5,20
Jurrangelo Cijntje,RHP,1,37.5,20
Alan Roden,1B,0,37.5,80
Nate Furman,IF,0,37.5,80
Carson Palmquist,LHP,0,37.5,80
Dalton Rogers,LHP,0,37.5,80
Cory Lewis,RHP,0,37.5,80
Clark Elliott,OF,0,37.5,50
Gabriel Rincones Jr.,OF,0,37.5,50
Alex Freeland,IF,0,37.5,50
Silas Ardoin,C,0,37.5,50
David McCabe,1B,0,37.5,50
Chase Meidroth,OF,0,37.5,50
Anthony Hall,OF,0,37.5,50
Dominic Keegan,1B,0,37.5,50
Jared McKenzie,CF,0,37.5,50
Trey Faltine,SS,0,37.5,50
Ben Metzinger,IF,0,37.5,50
Chase Estep,IF,0,37.5,50
Pete Hansen,LHP,0,37.5,50
Jackson Smeltz,LHP,0,37.5,50
Spencer Giesting,LHP,0,37.5,50
Ryan Ramsey,LHP,0,37.5,50
Mason Barnett,RHP,0,37.5,50
Bryce Hubbart,RHP,0,37.5,50
Trevor Martin,RHP,0,37.5,50
Marcus Johnson,RHP,0,37.5,50
Andrew Morris,RHP,0,37.5,50
Ryan Jennings,RHP,0,37.5,50
Josh White,RHP,0,37.5,50
Alex Hoppe,RHP,0,37.5,50
Eric Adler,RHP,0,37.5,50
A.J. Blubaugh,RHP,0,37.5,50
Chris McElvain,RHP,0,37.5,50
Xavier Isaac,1B,1,37.5,50
Tyler Cleveland,RHP,0,37.5,50
Nick Dean,RHP,0,37.5,50
Tim Borden,IF,0,37.5,20
Cade Doughty,IF,0,42.5,20
Noah Schultz,LHP,1,42.5,20
Robby Snelling,LHP,1,42.5,20
Kumar Rocker,RHP,0,42.5,20
Adam Mazur,RHP,0,42.5,20
Brandon Sproat,RHP,0,42.5,20
