name,position,hs,fv,risk
Tucker Toman,IF,1,42.5,20
Gavin Guidry,SS,1,42.5,20
Jalin Flores,SS,1,42.5,20
Jacob Miller,RHP,1,42.5,20
Walter Ford,RHP,1,42.5,20
Andrew Dutkanych,RHP,1,42.5,20
Sterling Thompson,OF,0,42.5,50
Cayden Wallace,IF,0,42.5,50
Jake Bennett,LHP,0,42.5,50
Landon Sims,RHP,0,42.5,50
Ryan Clifford,OF,1,42.5,50
Brady Neal,C,1,42.5,50
Gavin Kilen,IF,1,42.5,50
Peyton Graham,SS,0,47.5,20
Cade Horton,RHP,0,47.5,20
Elijah Green,CF,1,47.5,20
Justin Crawford,CF,1,47.5,20
Brock Porter,RHP,1,47.5,20
Cam Collier,IF,1,47.5,50
