name,number,bonus,pct_max_bonus
Travis Bazzana,1,8950000,0.9675675676
Chase Burns,2,9250000,1
Charlie Condon,3,9250000,1
Nick Kurtz,4,7000000,0.7567567568
Hagen Smith,5,8000000,0.8648648649
Jac Caglianone,6,7497500,0.8105405405
JJ Wetherholt,7,6900000,0.7459459459
Christian Moore,8,4997500,0.5402702703
Konnor Griffin,9,6532025,0.7061648649
Seaver King,10,5150000,0.5567567568
Bryce Rainer,11,5797500,0.6267567568
Braden Montgomery,12,5000000,0.5405405405
James Tibbs,13,4747500,0.5132432432
Cam Smith,14,5070700,0.5481837838
Jurrangelo Cijntje,15,4880900,0.5276648649
P.J. Morlando,16,3400000,0.3675675676
Braylon Payne,17,3440000,0.3718918919
Theodore Gillen,18,4370400,0.4724756757
Carson Benge,19,3997500,0.4321621622
Trey Yesavage,20,4175000,0.4513513514
Kaelen Culpepper,21,3934400,0.4253405405
Vance Honeycutt,22,4000000,0.4324324324
Kellon Lindsey,23,3297500,0.3564864865
Cameron Caminiti,24,3553800,0.3841945946
Kash Mayfield,25,3442100,0.3721189189
Ben Hess,26,2747500,0.297027027
Dante Nori,27,2497500,0.27
Walker Janek,28,3130000,0.3383783784
Slade Caldwell,29,3087000,0.3337297297
Malcolm Moore,30,3000000,0.3243243243
Ryan Waldschmidt,31,2904000,0.3139459459
Griff O'Ferrall,32,2697500,0.2916216216
Kyle DeBarge,33,2400000,0.2594594595
Blake Burke,34,2100000,0.227027027
JD Dix,35,2150000,0.2324324324
Braylon Doughty,36,2569200,0.2777513514
Levi Sterling,37,2508900,0.2712324324
Brody Brecht,38,2700000,0.2918918919
Caleb Lomavita,39,2325000,0.2513513514
Tommy White,40,3000000,0.3243243243
David Shields,41,2300000,0.2486486486
Jared Thomas,42,2000000,0.2162162162
Caleb Bonemer,43,2997500,0.3240540541
Luke Dickerson,44,3800000,0.4108108108
Chris Cortez,45,1597500,0.1727027027
Jonathan Santucci,46,2031700,0.2196432432
Wyatt Sanford,47,2497500,0.27
Jacob Cozart,48,2050000,0.2216216216
Owen Hall,49,1747500,0.1889189189
Payton Tolle,50,2000000,0.2162162162
Tyson Lewis,51,3047500,0.3294594595
Boston Bateman,52,2500000,0.2702702703
Bryce Cunningham,53,2297500,0.2483783784
Cole Mathis,54,1681200,0.1817513514
Ryan Sloan,55,3000000,0.3243243243
Carter Johnson,56,2800000,0.3027027027
Bryce Meccage,57,2500000,0.2702702703
Emilien Pitre,58,1522700,0.1646162162
Khal Stephen,59,1116750,0.1207297297
Billy Amick,60,1453700,0.1571567568
Ethan Anderson,61,1172500,0.1267567568
Carter Holton,62,1347500,0.1456756757
Griffin Burkholder,63,2497500,0.27
Ivan Luciano,64,990000,0.107027027
Dylan Dreiling,65,1287600,0.1392
Blake Larson,68,1397500,0.1510810811
Dasan Hill,69,1997500,0.2159459459
Aiden May,70,900000,0.0972972973
Luke Holman,71,997500,0.1078378378
Ethan Schiefelbein,72,1797500,0.1943243243
Gage Jump,73,2000000,0.2162162162
Ryan Johnson,74,1747500,0.1889189189
Josh Kuroda-Grauer,75,1043900,0.1128540541
Drew Beam,76,1097500,0.1186486486
Cole Messina,77,1011900,0.1093945946
Nick McLain,78,800000,0.08648648649
Kevin Bazzell,79,980300,0.1059783784
Brian Holiday,80,800000,0.08648648649
Nate Dohm,82,797500,0.08621621622
Josh Hartle,83,850000,0.09189189189
Joey Oakie,84,2000000,0.2162162162
Josh Randall,85,697500,0.07540540541
Brandon Neely,86,700000,0.07567567568
Mike Sirota,87,863300,0.09332972973
Cobb Hightower,88,852300,0.09214054054
Thatcher Hurd,89,836400,0.09042162162
Ronny Cruz,90,620000,0.06702702703
Hunter Cranton,91,50000,0.005405405405
Gage Miller,92,800800,0.08657297297
Jaron DeBerry,93,25000,0.002702702703
Nathan Flewelling,94,774000,0.08367567568
Johnny King,95,1247500,0.1348648649
Khadim Diaw,96,597500,0.06459459459
Austin Overn,97,847500,0.09162162162
Chase Harlan,98,1747500,0.1889189189
Luke Sinnard,99,735300,0.07949189189
John Spikerman,100,672500,0.0727027027
Ryan Forcucci,101,997500,0.1078378378
Daniel Eagen,102,650000,0.07027027027
Casey Cook,103,700000,0.07567567568
Rodney Green,104,1000000,0.1081081081
Louis-Philippe Langevin,105,597500,0.06459459459
Blake Wright,106,250000,0.02702702703
Casey Saucke,107,847500,0.09162162162
Jackson Kent,108,625000,0.06756756757
Ryan Campos,109,669300,0.07235675676
Austin Gordon,110,572500,0.06189189189
Eli Serrano,111,697500,0.07540540541
Eddie Rynders,112,647200,0.06996756757
Rafe Schlesinger,113,466900,0.05047567568
Michael Massey,114,522500,0.05648648649
Zach Ehrhard,115,500000,0.05405405405
Dakota Jordan,116,1997500,0.2159459459
Peyton Stovall,117,625000,0.06756756757
Tyson Neighbors,118,600000,0.06486486486
Gage Ziehl,119,637000,0.06886486486
Ty Southisene,120,1000000,0.1081081081
Josh Caron,121,594000,0.06421621622
Fenwick Trimble,122,550000,0.05945945946
Marco Dinges,123,500000,0.05405405405
