name,pick_29,pick_31,pick_35,pick_64,pick_102,pick_132
Travis Bazzana,0.290692403154447,0.276396231713884,0.247803888832758,0.40333369869024,0.624110842688634,0.902810017109525
Chase Burns,0.282180885212189,0.270316576040842,0.246587957698149,0.40333369869024,0.624110842688634,0.902810017109525
Charlie Condon,0.282180885212189,0.270316576040842,0.246587957698149,0.40333369869024,0.624110842688634,0.902810017109525
Nick Kurtz,0.283195471239278,0.271041280345906,0.246732898559162,0.172392987541483,0.0797505949808487,0.0848237501604079
Hagen Smith,0.290692403154447,0.276396231713884,0.247803888832758,0.40333369869024,0.624110842688634,0.902810017109525
Jac Caglianone,0.282180885212189,0.270316576040842,0.246587957698149,0.40333369869024,0.624110842688634,0.902810017109525
JJ Wetherholt,0.290692403154447,0.276396231713884,0.247803888832758,0.40333369869024,0.624110842688634,0.902810017109525
Christian Moore,0.27468395329702,0.264961624672865,0.245516967424554,0.172392987541483,0.0797505949808487,0.0848237501604079
Konnor Griffin,0.333884622144054,0.324162293519899,0.304717636271588,0.347064011962896,0.411131387681775,0.553017552482001
Seaver King,0.283195471239278,0.271041280345906,0.246732898559162,0.287863343115862,0.351930718834741,0.493816883634967
Bryce Rainer,0.333884622144054,0.324162293519899,0.304717636271588,0.347064011962896,0.411131387681775,0.553017552482001
Braden Montgomery,0.27468395329702,0.264961624672865,0.245516967424554,0.287863343115862,0.351930718834741,0.493816883634967
Cam Smith,0.27468395329702,0.264961624672865,0.245516967424554,0.287863343115862,0.351930718834741,0.493816883634967
Jurrangelo Cijntje,0.259872947630505,0.252889343148571,0.238922134184704,0.155751605463447,0.0714915267955134,0.0700875267008913
Braylon Payne,0.263917051317735,0.269706481927895,0.281285343148214,0.183415030660543,0.118288500464901,0.1058003903642
Carson Benge,0.283195471239278,0.271041280345906,0.246732898559162,0.172392987541483,0.0797505949808487,0.0848237501604079
Trey Yesavage,0.283195471239278,0.271041280345906,0.246732898559162,0.172392987541483,0.0797505949808487,0.0848237501604079
Kaelen Culpepper,0.259872947630505,0.252889343148571,0.238922134184704,0.155751605463447,0.0714915267955134,0.0700875267008913
Vance Honeycutt,0.251361429688247,0.24680968747553,0.237706203050096,0.155751605463447,0.0714915267955134,0.0700875267008913
Kellon Lindsey,0.333884622144054,0.324162293519899,0.304717636271588,0.231593656388517,0.138951263827883,0.144024419007442
Kash Mayfield,0.333884622144054,0.324162293519899,0.304717636271588,0.231593656388517,0.138951263827883,0.144024419007442
Ben Hess,0.236550424021732,0.234737405951237,0.231111369810246,0.139982983638478,0.06528967920669,0.0583436241090281
Dante Nori,0.263917051317735,0.269706481927895,0.281285343148214,0.183415030660543,0.118288500464901,0.1058003903642
Walker Janek,0.27468395329702,0.264961624672865,0.245516967424554,0.172392987541483,0.0797505949808487,0.0848237501604079
Slade Caldwell,0.319073616477539,0.312090011995605,0.298122803031738,0.214952274310482,0.130692195642547,0.129288195547926
Malcolm Moore,0.27468395329702,0.264961624672865,0.245516967424554,0.172392987541483,0.0797505949808487,0.0848237501604079
Ryan Waldschmidt,0.283195471239278,0.271041280345906,0.246732898559162,0.172392987541483,0.0797505949808487,0.0848237501604079
Griff O'Ferrall,0.236550424021732,0.234737405951237,0.231111369810246,0.139982983638478,0.06528967920669,0.0583436241090281
Blake Burke,0.236550424021732,0.234737405951237,0.231111369810246,0.139982983638478,0.06528967920669,0.0583436241090281
JD Dix,0.295751092868766,0.293938074798271,0.29031203865728,0.199183652485512,0.124490348053724,0.117544292956062
Braylon Doughty,0.342396140086312,0.33024194919294,0.305933567406196,0.231593656388517,0.138951263827883,0.144024419007442
Levi Sterling,0.295751092868766,0.293938074798271,0.29031203865728,0.199183652485512,0.124490348053724,0.117544292956062
Brody Brecht,0.27468395329702,0.264961624672865,0.245516967424554,0.287863343115862,0.351930718834741,0.493816883634967
Caleb Lomavita,0.251361429688247,0.24680968747553,0.237706203050096,0.155751605463447,0.0714915267955134,0.0700875267008913
Tommy White,0.259872947630505,0.252889343148571,0.238922134184704,0.155751605463447,0.0714915267955134,0.0700875267008913
David Shields,0.295751092868766,0.293938074798271,0.29031203865728,0.199183652485512,0.124490348053724,0.117544292956062
Jared Thomas,0.228038906079474,0.228657750278195,0.229895438675638,0.139982983638478,0.06528967920669,0.0583436241090281
Caleb Bonemer,0.272428569259993,0.275786137600936,0.282501274282822,0.183415030660543,0.118288500464901,0.1058003903642
Luke Dickerson,0.272428569259993,0.275786137600936,0.282501274282822,0.183415030660543,0.118288500464901,0.1058003903642
Chris Cortez,0.259872947630505,0.252889343148571,0.238922134184704,0.155751605463447,0.0714915267955134,0.0700875267008913
Jonathan Santucci,0.236550424021732,0.234737405951237,0.231111369810246,0.139982983638478,0.06528967920669,0.0583436241090281
Wyatt Sanford,0.333884622144054,0.324162293519899,0.304717636271588,0.231593656388517,0.138951263827883,0.144024419007442
Jacob Cozart,0.259872947630505,0.252889343148571,0.238922134184704,0.155751605463447,0.0714915267955134,0.0700875267008913
Owen Hall,0.333884622144054,0.324162293519899,0.304717636271588,0.231593656388517,0.138951263827883,0.144024419007442
Payton Tolle,0.213227900412959,0.216585468753902,0.223300605435788,0.124214361813509,0.059087831617867,0.0465997215171658
Tyson Lewis,0.333884622144054,0.324162293519899,0.304717636271588,0.231593656388517,0.138951263827883,0.144024419007442
Boston Bateman,0.295751092868766,0.293938074798271,0.29031203865728,0.199183652485512,0.124490348053724,0.117544292956062
Bryce Cunningham,0.251361429688247,0.24680968747553,0.237706203050096,0.155751605463447,0.0714915267955134,0.0700875267008913
Cole Mathis,0.213227900412959,0.216585468753902,0.223300605435788,0.124214361813509,0.059087831617867,0.0465997215171658
Ryan Sloan,0.342396140086312,0.33024194919294,0.305933567406196,0.231593656388517,0.138951263827883,0.144024419007442
Carter Johnson,0.342396140086312,0.33024194919294,0.305933567406196,0.231593656388517,0.138951263827883,0.144024419007442
Bryce Meccage,0.287239574926508,0.287858419125229,0.289096107522672,0.199183652485512,0.124490348053724,0.117544292956062
Khal Stephen,0.236550424021732,0.234737405951237,0.231111369810246,0.139982983638478,0.06528967920669,0.0583436241090281
Billy Amick,0.204716382470701,0.210505813080861,0.22208467430118,0.124214361813509,0.059087831617867,0.0465997215171658
Ethan Anderson,0.213227900412959,0.216585468753902,0.223300605435788,0.124214361813509,0.059087831617867,0.0465997215171658
Carter Holton,0.213227900412959,0.216585468753902,0.223300605435788,0.124214361813509,0.059087831617867,0.0465997215171658
Griffin Burkholder,0.287239574926508,0.287858419125229,0.289096107522672,0.199183652485512,0.124490348053724,0.117544292956062
Ivan Luciano,0.263917051317735,0.269706481927895,0.281285343148214,0.183415030660543,0.118288500464901,0.1058003903642
Dylan Dreiling,0.204716382470701,0.210505813080861,0.22208467430118,0.124214361813509,0.059087831617867,0.0465997215171658
Blake Larson,0.263917051317735,0.269706481927895,0.281285343148214,0.183415030660543,0.118288500464901,0.1058003903642
Dasan Hill,0.333884622144054,0.324162293519899,0.304717636271588,0.231593656388517,0.138951263827883,0.144024419007442
Aiden May,0.236550424021732,0.234737405951237,0.231111369810246,0.139982983638478,0.06528967920669,0.0583436241090281
Luke Holman,0.236550424021732,0.234737405951237,0.231111369810246,0.139982983638478,0.06528967920669,0.0583436241090281
Ethan Schiefelbein,0.295751092868766,0.293938074798271,0.29031203865728,0.199183652485512,0.124490348053724,0.117544292956062
Gage Jump,0.213227900412959,0.216585468753902,0.223300605435788,0.124214361813509,0.059087831617867,0.0465997215171658
Ryan Johnson,0.236550424021732,0.234737405951237,0.231111369810246,0.139982983638478,0.06528967920669,0.0583436241090281
Josh Kuroda-Grauer,0.213227900412959,0.216585468753902,0.223300605435788,0.124214361813509,0.059087831617867,0.0465997215171658
Drew Beam,0.213227900412959,0.216585468753902,0.223300605435788,0.124214361813509,0.059087831617867,0.0465997215171658
Cole Messina,0.189905376804186,0.198433531556567,0.21548984106133,0.108445739988539,0.0528859840290436,0.0479505904305628
Nick McLain,0.189905376804186,0.198433531556567,0.21548984106133,0.108445739988539,0.0528859840290436,0.0479505904305628
Kevin Bazzell,0.236550424021732,0.234737405951237,0.231111369810246,0.139982983638478,0.06528967920669,0.0583436241090281
Brian Holiday,0.189905376804186,0.198433531556567,0.21548984106133,0.108445739988539,0.0528859840290436,0.0479505904305628
Nate Dohm,0.204716382470701,0.210505813080861,0.22208467430118,0.124214361813509,0.059087831617867,0.0465997215171658
Josh Hartle,0.236550424021732,0.234737405951237,0.231111369810246,0.139982983638478,0.06528967920669,0.0583436241090281
Joey Oakie,0.310562098535281,0.306010356322564,0.29690687189713,0.214952274310482,0.130692195642547,0.129288195547926
Josh Randall,0.213227900412959,0.216585468753902,0.223300605435788,0.124214361813509,0.059087831617867,0.0465997215171658
Brandon Neely,0.189905376804186,0.198433531556567,0.21548984106133,0.108445739988539,0.0528859840290436,0.0479505904305628
Mike Sirota,0.236550424021732,0.234737405951237,0.231111369810246,0.139982983638478,0.06528967920669,0.0583436241090281
Cobb Hightower,0.263917051317735,0.269706481927895,0.281285343148214,0.183415030660543,0.118288500464901,0.1058003903642
Thatcher Hurd,0.236550424021732,0.234737405951237,0.231111369810246,0.139982983638478,0.06528967920669,0.0583436241090281
Ronny Cruz,0.263917051317735,0.269706481927895,0.281285343148214,0.183415030660543,0.118288500464901,0.1058003903642
Hunter Cranton,0.236550424021732,0.234737405951237,0.231111369810246,0.139982983638478,0.06528967920669,0.0583436241090281
Gage Miller,0.189905376804186,0.198433531556567,0.21548984106133,0.108445739988539,0.0528859840290436,0.0479505904305628
Jaron DeBerry,0.213227900412959,0.216585468753902,0.223300605435788,0.124214361813509,0.059087831617867,0.0465997215171658
Nathan Flewelling,0.263917051317735,0.269706481927895,0.281285343148214,0.183415030660543,0.118288500464901,0.1058003903642
Johnny King,0.272428569259993,0.275786137600936,0.282501274282822,0.183415030660543,0.118288500464901,0.1058003903642
Khadim Diaw,0.204716382470701,0.210505813080861,0.22208467430118,0.124214361813509,0.059087831617867,0.0465997215171658
Austin Overn,0.204716382470701,0.210505813080861,0.22208467430118,0.124214361813509,0.059087831617867,0.0465997215171658
Chase Harlan,0.263917051317735,0.269706481927895,0.281285343148214,0.183415030660543,0.118288500464901,0.1058003903642
Luke Sinnard,0.228038906079474,0.228657750278195,0.229895438675638,0.139982983638478,0.06528967920669,0.0583436241090281
John Spikerman,0.213227900412959,0.216585468753902,0.223300605435788,0.124214361813509,0.059087831617867,0.0465997215171658
Ryan Forcucci,0.228038906079474,0.228657750278195,0.229895438675638,0.139982983638478,0.06528967920669,0.0583436241090281
Daniel Eagen,0.228038906079474,0.228657750278195,0.229895438675638,0.139982983638478,0.06528967920669,0.0583436241090281
Casey Cook,0.213227900412959,0.216585468753902,0.223300605435788,0.124214361813509,0.059087831617867,0.0465997215171658
Rodney Green,0.181393858861928,0.192353875883526,0.214273909926722,0.108445739988539,0.0528859840290436,0.0479505904305628
Blake Wright,0.189905376804186,0.198433531556567,0.21548984106133,0.108445739988539,0.0528859840290436,0.0479505904305628
Casey Saucke,0.189905376804186,0.198433531556567,0.21548984106133,0.108445739988539,0.0528859840290436,0.0479505904305628
Jackson Kent,0.189905376804186,0.198433531556567,0.21548984106133,0.108445739988539,0.0528859840290436,0.0479505904305628
Ryan Campos,0.189905376804186,0.198433531556567,0.21548984106133,0.108445739988539,0.0528859840290436,0.0479505904305628
Austin Gordon,0.189905376804186,0.198433531556567,0.21548984106133,0.108445739988539,0.0528859840290436,0.0479505904305628
Eddie Rynders,0.263917051317735,0.269706481927895,0.281285343148214,0.183415030660543,0.118288500464901,0.1058003903642
Rafe Schlesinger,0.189905376804186,0.198433531556567,0.21548984106133,0.108445739988539,0.0528859840290436,0.0479505904305628
Michael Massey,0.236550424021732,0.234737405951237,0.231111369810246,0.139982983638478,0.06528967920669,0.0583436241090281
Zach Ehrhard,0.204716382470701,0.210505813080861,0.22208467430118,0.124214361813509,0.059087831617867,0.0465997215171658
Dakota Jordan,0.204716382470701,0.210505813080861,0.22208467430118,0.124214361813509,0.059087831617867,0.0465997215171658
Peyton Stovall,0.213227900412959,0.216585468753902,0.223300605435788,0.124214361813509,0.059087831617867,0.0465997215171658
Tyson Neighbors,0.236550424021732,0.234737405951237,0.231111369810246,0.139982983638478,0.06528967920669,0.0583436241090281
Gage Ziehl,0.189905376804186,0.198433531556567,0.21548984106133,0.108445739988539,0.0528859840290436,0.0479505904305628
Ty Southisene,0.240594527708962,0.25155454473056,0.273474578773756,0.167646408835573,0.112086652876077,0.107151259277597
Josh Caron,0.213227900412959,0.216585468753902,0.223300605435788,0.124214361813509,0.059087831617867,0.0465997215171658
Fenwick Trimble,0.189905376804186,0.198433531556567,0.21548984106133,0.108445739988539,0.0528859840290436,0.0479505904305628
Marco Dinges,0.181393858861928,0.192353875883526,0.214273909926722,0.108445739988539,0.0528859840290436,0.0479505904305628
Nate Knowles,0.181393858861928,0.192353875883526,0.214273909926722,0.108445739988539,0.0528859840290436,0.0479505904305628
Sean Keys,0.236550424021732,0.234737405951237,0.231111369810246,0.139982983638478,0.06528967920669,0.0583436241090281
Jaime Ferrer,0.134748811644382,0.156050001488857,0.198652381177805,0.0769084963385999,0.0404822888513972,0.0506523282573587
Chase Allsup,0.134748811644382,0.156050001488857,0.198652381177805,0.0769084963385999,0.0404822888513972,0.0506523282573587
Jakob Wright,0.134748811644382,0.156050001488857,0.198652381177805,0.0769084963385999,0.0404822888513972,0.0506523282573587
Herick Hernandez,0.134748811644382,0.156050001488857,0.198652381177805,0.0769084963385999,0.0404822888513972,0.0506523282573587
Carson DeMartini,0.204716382470701,0.210505813080861,0.22208467430118,0.124214361813509,0.059087831617867,0.0465997215171658
Parker Smith,0.181393858861928,0.192353875883526,0.214273909926722,0.108445739988539,0.0528859840290436,0.0479505904305628
Tytus Cissell,0.263917051317735,0.269706481927895,0.281285343148214,0.183415030660543,0.118288500464901,0.1058003903642
David Hagaman,0.251361429688247,0.24680968747553,0.237706203050096,0.155751605463447,0.0714915267955134,0.0700875267008913
Kavares Tears,0.228038906079474,0.228657750278195,0.229895438675638,0.139982983638478,0.06528967920669,0.0583436241090281
Clark Candiotti,0.134748811644382,0.156050001488857,0.198652381177805,0.0769084963385999,0.0404822888513972,0.0506523282573587
Nick Mitchell,0.134748811644382,0.156050001488857,0.198652381177805,0.0769084963385999,0.0404822888513972,0.0506523282573587
Sam Stuhr,0.134748811644382,0.156050001488857,0.198652381177805,0.0769084963385999,0.0404822888513972,0.0506523282573587
A.J. Causey,0.134748811644382,0.156050001488857,0.198652381177805,0.0769084963385999,0.0404822888513972,0.0506523282573587
Sam Antonacci,0.134748811644382,0.156050001488857,0.198652381177805,0.0769084963385999,0.0404822888513972,0.0506523282573587
Braden Davis,0.204716382470701,0.210505813080861,0.22208467430118,0.124214361813509,0.059087831617867,0.0465997215171658
Dylan Jordan,0.193949480491417,0.215250670335891,0.25785305002484,0.136109165185634,0.0996829576984313,0.109852997104393
Trey Snyder,0.240594527708962,0.25155454473056,0.273474578773756,0.167646408835573,0.112086652876077,0.107151259277597
Will Taylor,0.134748811644382,0.156050001488857,0.198652381177805,0.0769084963385999,0.0404822888513972,0.0506523282573587
Aidan Major,0.134748811644382,0.156050001488857,0.198652381177805,0.0769084963385999,0.0404822888513972,0.0506523282573587
Jack Penney,0.134748811644382,0.156050001488857,0.198652381177805,0.0769084963385999,0.0404822888513972,0.0506523282573587
Brandon Clarke,0.204716382470701,0.210505813080861,0.22208467430118,0.124214361813509,0.059087831617867,0.0465997215171658
