name,0,0,0,0
Travis Bazzana,0.311273009810836,0.008244158566447009,5.4377132711243385e-06,3.9607482853149837e-10
Chase Burns,0.3175740773371827,0.008952193698409456,6.696034942166667e-06,5.744187373870451e-10
Charlie Condon,0.2686777632565975,0.0045018750885917475,1.1792489086412893e-06,2.5837586023309243e-11
Nick Kurtz,0.711198385527995,0.2463132750375879,0.029018407316104885,0.0017965095575021147
Hagen Smith,0.2747556620245983,0.004935538424196138,1.4876865584582445e-06,3.912584844636232e-11
Jac Caglianone,0.19176093065624905,0.0011251307336272308,3.550177566527878e-08,4.956838020242567e-14
JJ Wetherholt,0.311273009810836,0.008244158566447009,5.4377132711243385e-06,3.9607482853149837e-10
Christian Moore,0.6756943397888091,0.19954932257679797,0.01704780760345308,0.0006948142882139524
Konnor Griffin,0.39740947484361533,0.022508326405204476,6.877183823033468e-05,3.680199417265568e-08
Seaver King,0.39475531235113537,0.021896682647527983,6.414797153546389e-05,3.250023712393512e-08
Bryce Rainer,0.3645424810710882,0.01578373623854683,2.8055162329260417e-05,7.420458522832708e-09
Braden Montgomery,0.4057684032004136,0.024519381028931808,8.537022449845247e-05,5.414563613358465e-08
Cam Smith,0.48783610166155755,0.05228737524067402,0.000578358687845176,1.6499979658136768e-06
Jurrangelo Cijntje,0.8102153310360835,0.42094751037621586,0.11237276260833684,0.020162251376919557
Braylon Payne,0.921177748674978,0.7135176924629492,0.4262322117110236,0.2180574893274648
Carson Benge,0.6286277199627547,0.14829716780244526,0.008053331669242336,0.00018205439147678107
Trey Yesavage,0.7243948404451962,0.26565313502930943,0.03512424631167811,0.00252664111597239
Kaelen Culpepper,0.7578653187512656,0.31986392464027713,0.056151257673659964,0.00584027031483222
Vance Honeycutt,0.7641112113998142,0.3308416605625651,0.06114814019087294,0.006800723464537466
Kellon Lindsey,0.5762991843917232,0.10374071325421726,0.003265310240864619,3.630963972041372e-05
Kash Mayfield,0.6581307194468512,0.17907072149433176,0.012967740777711656,0.0004262768209197697
Ben Hess,0.9083081519473869,0.6734164111268565,0.3682826161955074,0.16796791611371495
Dante Nori,0.921177748674978,0.7135176924629492,0.4262322117110236,0.2180574893274648
Walker Janek,0.7687621473432582,0.3391995156140912,0.06512632050596147,0.00761100710992533
Slade Caldwell,0.7715272289924219,0.3442435848412226,0.06760085146524511,0.008135167814586492
Malcolm Moore,0.7687621473432582,0.3391995156140912,0.06512632050596147,0.00761100710992533
Ryan Waldschmidt,0.6286277199627547,0.14829716780244526,0.008053331669242336,0.00018205439147678107
Griff O'Ferrall,0.8670216276814591,0.5561881108463513,0.22716214184514494,0.07086888418444202
Blake Burke,0.9033406549587257,0.6584032492457339,0.3478914004127588,0.15172132739427863
JD Dix,0.8564881849842195,0.5289280217326178,0.20007721373840232,0.05649134808654357
Braylon Doughty,0.7190248691891913,0.25764961677205295,0.03251195431096112,0.002200900604119151
Levi Sterling,0.9062944774555378,0.6672996409828972,0.35988994402644275,0.16119308121775303
Brody Brecht,0.5344804508480675,0.07611018913049908,0.0014931778999115186,8.977119392077991e-06
Caleb Lomavita,0.8662138072110126,0.5540606697054481,0.22497337336260062,0.06965399319294582
Tommy White,0.8172934155016387,0.43627327013769185,0.12299777025462018,0.023692584108820906
David Shields,0.8890577965811415,0.6166450736104755,0.2948163501577275,0.11288902273723925
Jared Thomas,0.8633477534644589,0.546562400134178,0.21736076393610274,0.06550075327032205
Caleb Bonemer,0.9402878083085671,0.776366562951393,0.527555563728103,0.31914503816939205
Luke Dickerson,0.9402878083085671,0.776366562951393,0.527555563728103,0.31914503816939205
Chris Cortez,0.8385429242310937,0.48482904500776997,0.16057606092359264,0.038141235103143684
Jonathan Santucci,0.891419200390491,0.6234066834722732,0.30305183919975903,0.11858263825664273
Wyatt Sanford,0.5762991843917232,0.10374071325421726,0.003265310240864619,3.630963972041372e-05
Jacob Cozart,0.8802566376836074,0.591931669660287,0.26587281039580574,0.09386485415994848
Owen Hall,0.7046612471669452,0.23713732662440026,0.02636447039690119,0.001513690619471841
Payton Tolle,0.9425595950664438,0.7841073667503657,0.5409456134785846,0.3337557406928218
Tyson Lewis,0.5762991843917232,0.10374071325421726,0.003265310240864619,3.630963972041372e-05
Boston Bateman,0.8951051253943676,0.6340728693252454,0.31632280082542624,0.12801586815628413
Bryce Cunningham,0.8295585584552635,0.46382577803517616,0.1435784472294959,0.03123296653706095
Cole Mathis,0.9490262607950029,0.8064616328877973,0.5807590216896656,0.3788883968796429
Ryan Sloan,0.7190248691891913,0.25764961677205295,0.03251195431096112,0.002200900604119151
Carter Johnson,0.5949027912773742,0.11821623451905275,0.004541925954245942,6.545981710285043e-05
Bryce Meccage,0.9008559162859067,0.6509894152517762,0.3380795589753781,0.1441639721865054
Khal Stephen,0.9083081519473869,0.6734164111268565,0.3682826161955074,0.16796791611371495
Billy Amick,0.9381345298943724,0.7690830779664541,0.5151412722766847,0.305856819629777
Ethan Anderson,0.9604334026692208,0.8470663228125511,0.6574954921683809,0.4728982450830821
Carter Holton,0.9391548180416092,0.772527736266343,0.5209902397725605,0.3120865522214168
Griffin Burkholder,0.8604251221163846,0.538995451179094,0.20983835161260503,0.06150749905876154
Ivan Luciano,0.9571176936422847,0.8351078971002984,0.6342973423571417,0.4435139269980782
Dylan Dreiling,0.9228853376843283,0.7189712176695815,0.4345105844414761,0.22567887221069838
Blake Larson,0.9341180655785909,0.7556356549473711,0.4926883607381086,0.2824574516336843
Dasan Hill,0.6581307194468512,0.17907072149433176,0.012967740777711656,0.0004262768209197697
