name,pick_25,pick_52,pick_88,pick_118,pick_134,pick_135
Travis Bazzana,0.319284746035573,0.333614600585484,0.542771894899752,0.772750402379776,0.921389962070918,0.930679934551615
Chase Burns,0.305909503554882,0.333614600585484,0.542771894899752,0.772750402379776,0.921389962070918,0.930679934551615
Charlie Condon,0.305909503554882,0.333614600585484,0.542771894899752,0.772750402379776,0.921389962070918,0.930679934551615
Nick Kurtz,0.307503853026022,0.201648479929051,0.113882002766345,0.0824562777432803,0.085161960505712,0.085331065678364
Hagen Smith,0.319284746035573,0.333614600585484,0.542771894899752,0.772750402379776,0.921389962070918,0.930679934551615
Jac Caglianone,0.305909503554882,0.333614600585484,0.542771894899752,0.772750402379776,0.921389962070918,0.930679934551615
JJ Wetherholt,0.319284746035573,0.333614600585484,0.542771894899752,0.772750402379776,0.921389962070918,0.930679934551615
Christian Moore,0.294128610545331,0.201648479929051,0.113882002766345,0.0824562777432803,0.085161960505712,0.085331065678364
Konnor Griffin,0.353329279392365,0.326832209104302,0.387527617680083,0.486804008908562,0.562476630135349,0.567206168962024
Seaver King,0.307503853026022,0.267631540257268,0.328326948833049,0.427603340061528,0.503275961288314,0.508005500114989
Bryce Rainer,0.353329279392365,0.326832209104302,0.387527617680083,0.486804008908562,0.562476630135349,0.567206168962024
Braden Montgomery,0.294128610545331,0.267631540257268,0.328326948833049,0.427603340061528,0.503275961288314,0.508005500114989
Cam Smith,0.294128610545331,0.267631540257268,0.328326948833049,0.427603340061528,0.503275961288314,0.508005500114989
Jurrangelo Cijntje,0.273840156594372,0.182360051358584,0.102534713673173,0.0707427267450481,0.0699939266945827,0.0699471266914293
Braylon Payne,0.252338190097416,0.203981303353903,0.142282485273821,0.11162817507786,0.104967849690819,0.10455157935413
Carson Benge,0.307503853026022,0.201648479929051,0.113882002766345,0.0824562777432803,0.085161960505712,0.085331065678364
Trey Yesavage,0.307503853026022,0.201648479929051,0.113882002766345,0.0824562777432803,0.085161960505712,0.085331065678364
Kaelen Culpepper,0.273840156594372,0.182360051358584,0.102534713673173,0.0707427267450481,0.0699939266945827,0.0699471266914293
Vance Honeycutt,0.260464914113681,0.182360051358584,0.102534713673173,0.0707427267450481,0.0699939266945827,0.0699471266914293
Kellon Lindsey,0.353329279392365,0.260849148776085,0.173082671613379,0.141656946590315,0.144362629352746,0.144531734525398
Kash Mayfield,0.353329279392365,0.260849148776085,0.173082671613379,0.141656946590315,0.144362629352746,0.144531734525398
Ben Hess,0.240176460162723,0.163570342932727,0.09280826504998,0.0615851164879368,0.0578805537691842,0.0576490185992621
Dante Nori,0.252338190097416,0.203981303353903,0.142282485273821,0.11162817507786,0.104967849690819,0.10455157935413
Walker Janek,0.294128610545331,0.201648479929051,0.113882002766345,0.0824562777432803,0.085161960505712,0.085331065678364
Slade Caldwell,0.333040825441406,0.241560720205619,0.161735382520207,0.129943395592083,0.129194595541617,0.129147795538464
Malcolm Moore,0.294128610545331,0.201648479929051,0.113882002766345,0.0824562777432803,0.085161960505712,0.085331065678364
Ryan Waldschmidt,0.307503853026022,0.201648479929051,0.113882002766345,0.0824562777432803,0.085161960505712,0.085331065678364
Griff O'Ferrall,0.240176460162723,0.163570342932727,0.09280826504998,0.0615851164879368,0.0578805537691842,0.0576490185992621
Blake Burke,0.240176460162723,0.163570342932727,0.09280826504998,0.0615851164879368,0.0578805537691842,0.0576490185992621
JD Dix,0.299377129009757,0.222771011779761,0.152008933897014,0.120785785334971,0.117081222616218,0.116849687446296
Braylon Doughty,0.366704521873056,0.260849148776085,0.173082671613379,0.141656946590315,0.144362629352746,0.144531734525398
Levi Sterling,0.299377129009757,0.222771011779761,0.152008933897014,0.120785785334971,0.117081222616218,0.116849687446296
Brody Brecht,0.294128610545331,0.267631540257268,0.328326948833049,0.427603340061528,0.503275961288314,0.508005500114989
Caleb Lomavita,0.260464914113681,0.182360051358584,0.102534713673173,0.0707427267450481,0.0699939266945827,0.0699471266914293
Tommy White,0.273840156594372,0.182360051358584,0.102534713673173,0.0707427267450481,0.0699939266945827,0.0699471266914293
David Shields,0.299377129009757,0.222771011779761,0.152008933897014,0.120785785334971,0.117081222616218,0.116849687446296
Jared Thomas,0.226801217682032,0.163570342932727,0.09280826504998,0.0615851164879368,0.0578805537691842,0.0576490185992621
Caleb Bonemer,0.265713432578107,0.203981303353903,0.142282485273821,0.11162817507786,0.104967849690819,0.10455157935413
Luke Dickerson,0.265713432578107,0.203981303353903,0.142282485273821,0.11162817507786,0.104967849690819,0.10455157935413
Chris Cortez,0.273840156594372,0.182360051358584,0.102534713673173,0.0707427267450481,0.0699939266945827,0.0699471266914293
Jonathan Santucci,0.240176460162723,0.163570342932727,0.09280826504998,0.0615851164879368,0.0578805537691842,0.0576490185992621
