name,pick_6,pick_41,pick_76,pick_105
Travis Bazzana,0.695992822287112,0.269705427322791,0.473052796794996,0.651980760130722
Chase Burns,0.659514888248864,0.269705427322791,0.473052796794996,0.651980760130722
Charlie Condon,0.659514888248864,0.269705427322791,0.473052796794996,0.651980760130722
Nick Kurtz,0.663863114079247,0.228466014617656,0.143137495153914,0.0802579104988044
Hagen Smith,0.695992822287112,0.269705427322791,0.473052796794996,0.651980760130722
Jac Caglianone,0.659514888248864,0.269705427322791,0.473052796794996,0.651980760130722
JJ Wetherholt,0.695992822287112,0.269705427322791,0.473052796794996,0.651980760130722
Christian Moore,0.627385180040999,0.228466014617656,0.143137495153914,0.0802579104988044
Konnor Griffin,0.686585848888033,0.308286389817258,0.367295814821489,0.425320004161798
Seaver King,0.663863114079247,0.249085720970223,0.308095145974455,0.366119335314763
Bryce Rainer,0.686585848888033,0.308286389817258,0.367295814821489,0.425320004161798
Braden Montgomery,0.627385180040999,0.249085720970223,0.308095145974455,0.366119335314763
Cam Smith,0.627385180040999,0.249085720970223,0.308095145974455,0.366119335314763
Jurrangelo Cijntje,0.581078846738933,0.215547303124945,0.12914315956831,0.0713511267860509
Braylon Payne,0.438233046867093,0.249222249076938,0.162848757967182,0.11703968945483
Carson Benge,0.663863114079247,0.228466014617656,0.143137495153914,0.0802579104988044
Trey Yesavage,0.663863114079247,0.228466014617656,0.143137495153914,0.0802579104988044
Kaelen Culpepper,0.581078846738933,0.215547303124945,0.12914315956831,0.0713511267860509
Vance Honeycutt,0.544600912700685,0.215547303124945,0.12914315956831,0.0713511267860509
Kellon Lindsey,0.686585848888033,0.28766668346469,0.202338164000948,0.139458579345839
Kash Mayfield,0.686585848888033,0.28766668346469,0.202338164000948,0.139458579345839
Ben Hess,0.49829457939862,0.202784441677425,0.116395624344229,0.0645950736969232
Dante Nori,0.438233046867093,0.249222249076938,0.162848757967182,0.11703968945483
Walker Janek,0.627385180040999,0.228466014617656,0.143137495153914,0.0802579104988044
Slade Caldwell,0.640279515585968,0.274747971971979,0.188343828415344,0.130551795633085
Malcolm Moore,0.627385180040999,0.228466014617656,0.143137495153914,0.0802579104988044
Ryan Waldschmidt,0.663863114079247,0.228466014617656,0.143137495153914,0.0802579104988044
Griff O'Ferrall,0.49829457939862,0.202784441677425,0.116395624344229,0.0645950736969232
Blake Burke,0.49829457939862,0.202784441677425,0.116395624344229,0.0645950736969232
JD Dix,0.557495248245654,0.261985110524459,0.175596293191263,0.123795742543958
