name,pick_10,pick_39,pick_44,pick_79,pick_108
Travis Bazzana,0.577544255541228,0.258085577638665,0.28713520184898,0.490482571321185,0.679850677572812
Chase Burns,0.545930046041413,0.258085577638665,0.28713520184898,0.490482571321185,0.679850677572812
Charlie Condon,0.545930046041413,0.258085577638665,0.28713520184898,0.490482571321185,0.679850677572812
Nick Kurtz,0.549698508427745,0.233341930015584,0.221152141520764,0.135823622057022,0.0807652260167607
Hagen Smith,0.577544255541228,0.258085577638665,0.28713520184898,0.490482571321185,0.679850677572812
Jac Caglianone,0.545930046041413,0.258085577638665,0.28713520184898,0.490482571321185,0.679850677572812
JJ Wetherholt,0.577544255541228,0.258085577638665,0.28713520184898,0.490482571321185,0.679850677572812
Christian Moore,0.51808429892793,0.233341930015584,0.221152141520764,0.135823622057022,0.0807652260167607
Konnor Griffin,0.577284967774964,0.304914422674159,0.313344340531906,0.372353765536137,0.43950862064182
Seaver King,0.549698508427745,0.245713753827124,0.254143671684872,0.313153096689103,0.380307951794786
Bryce Rainer,0.577284967774964,0.304914422674159,0.313344340531906,0.372353765536137,0.43950862064182
Braden Montgomery,0.51808429892793,0.245713753827124,0.254143671684872,0.313153096689103,0.380307951794786
Cam Smith,0.51808429892793,0.245713753827124,0.254143671684872,0.313153096689103,0.380307951794786
Jurrangelo Cijntje,0.477255413910308,0.223500514652462,0.20361748583367,0.122491048094526,0.0712107267765889
Braylon Payne,0.359955684222654,0.26320537282748,0.228247563451125,0.157707189793842,0.115790878444761
Carson Benge,0.549698508427745,0.233341930015584,0.221152141520764,0.135823622057022,0.0807652260167607
Trey Yesavage,0.549698508427745,0.233341930015584,0.221152141520764,0.135823622057022,0.0807652260167607
Kaelen Culpepper,0.477255413910308,0.223500514652462,0.20361748583367,0.122491048094526,0.0712107267765889
Vance Honeycutt,0.445641204410493,0.223500514652462,0.20361748583367,0.122491048094526,0.0712107267765889
Kellon Lindsey,0.577284967774964,0.292542598862618,0.280352810367798,0.195024290904056,0.139965894863794
Kash Mayfield,0.577284967774964,0.292542598862618,0.280352810367798,0.195024290904056,0.139965894863794
Ben Hess,0.404812319392871,0.213752609316454,0.18633219021888,0.110498784520666,0.0639004681871574
Dante Nori,0.359955684222654,0.26320537282748,0.228247563451125,0.157707189793842,0.115790878444761
Walker Janek,0.51808429892793,0.233341930015584,0.221152141520764,0.135823622057022,0.0807652260167607
Slade Caldwell,0.536456082757342,0.282701183499496,0.262818154680704,0.18169171694156,0.130411395623623
Malcolm Moore,0.51808429892793,0.233341930015584,0.221152141520764,0.135823622057022,0.0807652260167607
Ryan Waldschmidt,0.549698508427745,0.233341930015584,0.221152141520764,0.135823622057022,0.0807652260167607
Griff O'Ferrall,0.404812319392871,0.213752609316454,0.18633219021888,0.110498784520666,0.0639004681871574
Blake Burke,0.404812319392871,0.213752609316454,0.18633219021888,0.110498784520666,0.0639004681871574
JD Dix,0.464012988239905,0.272953278163488,0.245532859065914,0.169699453367701,0.123101137034192
Braylon Doughty,0.608899177274779,0.292542598862618,0.280352810367798,0.195024290904056,0.139965894863794
Levi Sterling,0.464012988239905,0.272953278163488,0.245532859065914,0.169699453367701,0.123101137034192
Brody Brecht,0.51808429892793,0.245713753827124,0.254143671684872,0.313153096689103,0.380307951794786
Caleb Lomavita,0.445641204410493,0.223500514652462,0.20361748583367,0.122491048094526,0.0712107267765889
Tommy White,0.477255413910308,0.223500514652462,0.20361748583367,0.122491048094526,0.0712107267765889
David Shields,0.464012988239905,0.272953278163488,0.245532859065914,0.169699453367701,0.123101137034192
Jared Thomas,0.373198109893056,0.213752609316454,0.18633219021888,0.110498784520666,0.0639004681871574
Caleb Bonemer,0.391569893722469,0.26320537282748,0.228247563451125,0.157707189793842,0.115790878444761
Luke Dickerson,0.391569893722469,0.26320537282748,0.228247563451125,0.157707189793842,0.115790878444761
Chris Cortez,0.477255413910308,0.223500514652462,0.20361748583367,0.122491048094526,0.0712107267765889
Jonathan Santucci,0.404812319392871,0.213752609316454,0.18633219021888,0.110498784520666,0.0639004681871574
Wyatt Sanford,0.577284967774964,0.292542598862618,0.280352810367798,0.195024290904056,0.139965894863794
Jacob Cozart,0.477255413910308,0.223500514652462,0.20361748583367,0.122491048094526,0.0712107267765889
Owen Hall,0.577284967774964,0.292542598862618,0.280352810367798,0.195024290904056,0.139965894863794
Payton Tolle,0.332369224875434,0.204004703980446,0.169046894604091,0.0985065209468075,0.0565902095977265
Tyson Lewis,0.577284967774964,0.292542598862618,0.280352810367798,0.195024290904056,0.139965894863794
Boston Bateman,0.464012988239905,0.272953278163488,0.245532859065914,0.169699453367701,0.123101137034192
Bryce Cunningham,0.445641204410493,0.223500514652462,0.20361748583367,0.122491048094526,0.0712107267765889
Cole Mathis,0.332369224875434,0.204004703980446,0.169046894604091,0.0985065209468075,0.0565902095977265
Ryan Sloan,0.608899177274779,0.292542598862618,0.280352810367798,0.195024290904056,0.139965894863794
Carter Johnson,0.608899177274779,0.292542598862618,0.280352810367798,0.195024290904056,0.139965894863794
Bryce Meccage,0.43239877874009,0.272953278163488,0.245532859065914,0.169699453367701,0.123101137034192
Khal Stephen,0.404812319392871,0.213752609316454,0.18633219021888,0.110498784520666,0.0639004681871574
Billy Amick,0.30075501537562,0.204004703980446,0.169046894604091,0.0985065209468075,0.0565902095977265
Ethan Anderson,0.332369224875434,0.204004703980446,0.169046894604091,0.0985065209468075,0.0565902095977265
Carter Holton,0.332369224875434,0.204004703980446,0.169046894604091,0.0985065209468075,0.0565902095977265
Griffin Burkholder,0.43239877874009,0.272953278163488,0.245532859065914,0.169699453367701,0.123101137034192
Ivan Luciano,0.359955684222654,0.26320537282748,0.228247563451125,0.157707189793842,0.115790878444761
Dylan Dreiling,0.30075501537562,0.204004703980446,0.169046894604091,0.0985065209468075,0.0565902095977265
Blake Larson,0.359955684222654,0.26320537282748,0.228247563451125,0.157707189793842,0.115790878444761
Dasan Hill,0.577284967774964,0.292542598862618,0.280352810367798,0.195024290904056,0.139965894863794
Aiden May,0.404812319392871,0.213752609316454,0.18633219021888,0.110498784520666,0.0639004681871574
Luke Holman,0.404812319392871,0.213752609316454,0.18633219021888,0.110498784520666,0.0639004681871574
Ethan Schiefelbein,0.464012988239905,0.272953278163488,0.245532859065914,0.169699453367701,0.123101137034192
Gage Jump,0.332369224875434,0.204004703980446,0.169046894604091,0.0985065209468075,0.0565902095977265
Ryan Johnson,0.404812319392871,0.213752609316454,0.18633219021888,0.110498784520666,0.0639004681871574
Josh Kuroda-Grauer,0.332369224875434,0.204004703980446,0.169046894604091,0.0985065209468075,0.0565902095977265
Drew Beam,0.332369224875434,0.204004703980446,0.169046894604091,0.0985065209468075,0.0565902095977265
Cole Messina,0.259926130357998,0.194256798644438,0.151761598989302,0.0865142573729483,0.0518989053093474
Nick McLain,0.259926130357998,0.194256798644438,0.151761598989302,0.0865142573729483,0.0518989053093474
Kevin Bazzell,0.404812319392871,0.213752609316454,0.18633219021888,0.110498784520666,0.0639004681871574
Brian Holiday,0.259926130357998,0.194256798644438,0.151761598989302,0.0865142573729483,0.0518989053093474
Nate Dohm,0.30075501537562,0.204004703980446,0.169046894604091,0.0985065209468075,0.0565902095977265
Josh Hartle,0.404812319392871,0.213752609316454,0.18633219021888,0.110498784520666,0.0639004681871574
Joey Oakie,0.504841873257527,0.282701183499496,0.262818154680704,0.18169171694156,0.130411395623623
Josh Randall,0.332369224875434,0.204004703980446,0.169046894604091,0.0985065209468075,0.0565902095977265
