name,pick_21,pick_33,pick_60,pick_69,pick_96,pick_126
Travis Bazzana,0.388153948570414,0.262100060273321,0.380093999321988,0.432383322900555,0.589251293636256,0.847070182225348
Chase Burns,0.36991498155129,0.258452266869496,0.380093999321988,0.432383322900555,0.589251293636256,0.847070182225348
Charlie Condon,0.36991498155129,0.258452266869496,0.380093999321988,0.432383322900555,0.589251293636256,0.847070182225348
Nick Kurtz,0.372089094466481,0.258887089452534,0.182144818337339,0.160203199046662,0.0943783411746326,0.0838091191244968
Hagen Smith,0.388153948570414,0.262100060273321,0.380093999321988,0.432383322900555,0.589251293636256,0.847070182225348
Jac Caglianone,0.36991498155129,0.258452266869496,0.380093999321988,0.432383322900555,0.589251293636256,0.847070182225348
JJ Wetherholt,0.388153948570414,0.262100060273321,0.380093999321988,0.432383322900555,0.589251293636256,0.847070182225348
Christian Moore,0.353850127447357,0.255239296048709,0.182144818337339,0.160203199046662,0.0943783411746326,0.0838091191244968
Konnor Griffin,0.413050796294391,0.314439964895743,0.340320077676698,0.355493929820643,0.401015486252478,0.524640319521957
Seaver King,0.372089094466481,0.258887089452534,0.281119408829663,0.296293260973609,0.341814817405444,0.465439650674922
Bryce Rainer,0.413050796294391,0.314439964895743,0.340320077676698,0.355493929820643,0.401015486252478,0.524640319521957
Braden Montgomery,0.353850127447357,0.255239296048709,0.281119408829663,0.296293260973609,0.341814817405444,0.465439650674922
Cam Smith,0.353850127447357,0.255239296048709,0.281119408829663,0.296293260973609,0.341814817405444,0.465439650674922
Jurrangelo Cijntje,0.328084225211955,0.245905738666638,0.164621087428493,0.14466475300714,0.0847957497430818,0.0703683267198164
Braylon Payne,0.281036188530813,0.275495912538054,0.190270454891662,0.174845750371642,0.128571636811581,0.10829801238434
Carson Benge,0.372089094466481,0.258887089452534,0.182144818337339,0.160203199046662,0.0943783411746326,0.0838091191244968
Trey Yesavage,0.372089094466481,0.258887089452534,0.182144818337339,0.160203199046662,0.0943783411746326,0.0838091191244968
Kaelen Culpepper,0.328084225211955,0.245905738666638,0.164621087428493,0.14466475300714,0.0847957497430818,0.0703683267198164
Vance Honeycutt,0.309845258192831,0.242257945262813,0.164621087428493,0.14466475300714,0.0847957497430818,0.0703683267198164
Kellon Lindsey,0.413050796294391,0.314439964895743,0.241345487184373,0.219403867893697,0.153579010021667,0.143009787971531
Kash Mayfield,0.413050796294391,0.314439964895743,0.241345487184373,0.219403867893697,0.153579010021667,0.143009787971531
Ben Hess,0.284079355957429,0.232924387880741,0.147845436736561,0.130154917265874,0.0770833588538139,0.0597328351285611
Dante Nori,0.281036188530813,0.275495912538054,0.190270454891662,0.174845750371642,0.128571636811581,0.10829801238434
Walker Janek,0.353850127447357,0.255239296048709,0.182144818337339,0.160203199046662,0.0943783411746326,0.0838091191244968
Slade Caldwell,0.387284894058989,0.305106407513672,0.223821756275527,0.203865421854174,0.143996418590116,0.129568995566851
Malcolm Moore,0.353850127447357,0.255239296048709,0.182144818337339,0.160203199046662,0.0943783411746326,0.0838091191244968
Ryan Waldschmidt,0.372089094466481,0.258887089452534,0.182144818337339,0.160203199046662,0.0943783411746326,0.0838091191244968
Griff O'Ferrall,0.284079355957429,0.232924387880741,0.147845436736561,0.130154917265874,0.0770833588538139,0.0597328351285611
Blake Burke,0.284079355957429,0.232924387880741,0.147845436736561,0.130154917265874,0.0770833588538139,0.0597328351285611
JD Dix,0.343280024804463,0.292125056727775,0.207046105583595,0.189355586112908,0.136284027700848,0.118933503975595
Braylon Doughty,0.431289763313515,0.318087758299568,0.241345487184373,0.219403867893697,0.153579010021667,0.143009787971531
Levi Sterling,0.343280024804463,0.292125056727775,0.207046105583595,0.189355586112908,0.136284027700848,0.118933503975595
Brody Brecht,0.353850127447357,0.255239296048709,0.281119408829663,0.296293260973609,0.341814817405444,0.465439650674922
Caleb Lomavita,0.309845258192831,0.242257945262813,0.164621087428493,0.14466475300714,0.0847957497430818,0.0703683267198164
Tommy White,0.328084225211955,0.245905738666638,0.164621087428493,0.14466475300714,0.0847957497430818,0.0703683267198164
David Shields,0.343280024804463,0.292125056727775,0.207046105583595,0.189355586112908,0.136284027700848,0.118933503975595
Jared Thomas,0.265840388938305,0.229276594476917,0.147845436736561,0.130154917265874,0.0770833588538139,0.0597328351285611
Caleb Bonemer,0.299275155549937,0.279143705941879,0.190270454891662,0.174845750371642,0.128571636811581,0.10829801238434
Luke Dickerson,0.299275155549937,0.279143705941879,0.190270454891662,0.174845750371642,0.128571636811581,0.10829801238434
Chris Cortez,0.328084225211955,0.245905738666638,0.164621087428493,0.14466475300714,0.0847957497430818,0.0703683267198164
Jonathan Santucci,0.284079355957429,0.232924387880741,0.147845436736561,0.130154917265874,0.0770833588538139,0.0597328351285611
Wyatt Sanford,0.413050796294391,0.314439964895743,0.241345487184373,0.219403867893697,0.153579010021667,0.143009787971531
Jacob Cozart,0.328084225211955,0.245905738666638,0.164621087428493,0.14466475300714,0.0847957497430818,0.0703683267198164
Owen Hall,0.413050796294391,0.314439964895743,0.241345487184373,0.219403867893697,0.153579010021667,0.143009787971531
Payton Tolle,0.240074486702903,0.219943037094845,0.131069786044628,0.115645081524608,0.0693709679645469,0.0490973435373065
Tyson Lewis,0.413050796294391,0.314439964895743,0.241345487184373,0.219403867893697,0.153579010021667,0.143009787971531
Boston Bateman,0.343280024804463,0.292125056727775,0.207046105583595,0.189355586112908,0.136284027700848,0.118933503975595
Bryce Cunningham,0.309845258192831,0.242257945262813,0.164621087428493,0.14466475300714,0.0847957497430818,0.0703683267198164
Cole Mathis,0.240074486702903,0.219943037094845,0.131069786044628,0.115645081524608,0.0693709679645469,0.0490973435373065
Ryan Sloan,0.431289763313515,0.318087758299568,0.241345487184373,0.219403867893697,0.153579010021667,0.143009787971531
Carter Johnson,0.431289763313515,0.318087758299568,0.241345487184373,0.219403867893697,0.153579010021667,0.143009787971531
