name,pick_15,pick_55,pick_91,pick_121
Travis Bazzana,0.491457752372676,0.351044375111673,0.560201669425941,0.800620319821865
Chase Burns,0.465923198545903,0.351044375111673,0.560201669425941,0.800620319821865
Charlie Condon,0.465923198545903,0.351044375111673,0.560201669425941,0.800620319821865
Nick Kurtz,0.46896695662717,0.194334606832159,0.106568129669453,0.0829635932612366
Hagen Smith,0.491457752372676,0.351044375111673,0.560201669425941,0.800620319821865
Jac Caglianone,0.465923198545903,0.351044375111673,0.560201669425941,0.800620319821865
JJ Wetherholt,0.491457752372676,0.351044375111673,0.560201669425941,0.800620319821865
Christian Moore,0.443432402800397,0.194334606832159,0.106568129669453,0.0829635932612366
Konnor Griffin,0.502633071647431,0.33189015981895,0.392585568394731,0.500992625388585
Seaver King,0.46896695662717,0.272689490971916,0.333384899547697,0.441791956541551
Bryce Rainer,0.502633071647431,0.33189015981895,0.392585568394731,0.500992625388585
Braden Montgomery,0.443432402800397,0.272689490971916,0.333384899547697,0.441791956541551
Cam Smith,0.443432402800397,0.272689490971916,0.333384899547697,0.441791956541551
Jurrangelo Cijntje,0.409450328138329,0.1757079398848,0.0958826021993889,0.0706023267355863
Braylon Payne,0.324083186180908,0.198839735180563,0.137140917100481,0.11037936406779
Carson Benge,0.46896695662717,0.194334606832159,0.106568129669453,0.0829635932612366
Trey Yesavage,0.46896695662717,0.194334606832159,0.106568129669453,0.0829635932612366
Kaelen Culpepper,0.409450328138329,0.1757079398848,0.0958826021993889,0.0706023267355863
Vance Honeycutt,0.383915774311556,0.1757079398848,0.0958826021993889,0.0706023267355863
Kellon Lindsey,0.502633071647431,0.253535275679193,0.165768798516487,0.142164262108271
Kash Mayfield,0.502633071647431,0.253535275679193,0.165768798516487,0.142164262108271
Ben Hess,0.349933699649488,0.157673503109165,0.0869114252264177,0.060890510978171
Dante Nori,0.324083186180908,0.198839735180563,0.137140917100481,0.11037936406779
Walker Janek,0.443432402800397,0.194334606832159,0.106568129669453,0.0829635932612366
Slade Caldwell,0.468650996985363,0.234908608731834,0.155083271046423,0.129802995582621
Malcolm Moore,0.443432402800397,0.194334606832159,0.106568129669453,0.0829635932612366
Ryan Waldschmidt,0.46896695662717,0.194334606832159,0.106568129669453,0.0829635932612366
Griff O'Ferrall,0.349933699649488,0.157673503109165,0.0869114252264177,0.060890510978171
Blake Burke,0.349933699649488,0.157673503109165,0.0869114252264177,0.060890510978171
JD Dix,0.409134368496522,0.216874171956199,0.146112094073452,0.120091179825205
Braylon Doughty,0.528167625474204,0.253535275679193,0.165768798516487,0.142164262108271
Levi Sterling,0.409134368496522,0.216874171956199,0.146112094073452,0.120091179825205
Brody Brecht,0.443432402800397,0.272689490971916,0.333384899547697,0.441791956541551
Caleb Lomavita,0.383915774311556,0.1757079398848,0.0958826021993889,0.0706023267355863
Tommy White,0.409450328138329,0.1757079398848,0.0958826021993889,0.0706023267355863
David Shields,0.409134368496522,0.216874171956199,0.146112094073452,0.120091179825205
Jared Thomas,0.324399145822714,0.157673503109165,0.0869114252264177,0.060890510978171
Caleb Bonemer,0.349617740007682,0.198839735180563,0.137140917100481,0.11037936406779
Luke Dickerson,0.349617740007682,0.198839735180563,0.137140917100481,0.11037936406779
Chris Cortez,0.409450328138329,0.1757079398848,0.0958826021993889,0.0706023267355863
Jonathan Santucci,0.349933699649488,0.157673503109165,0.0869114252264177,0.060890510978171
Wyatt Sanford,0.502633071647431,0.253535275679193,0.165768798516487,0.142164262108271
Jacob Cozart,0.409450328138329,0.1757079398848,0.0958826021993889,0.0706023267355863
Owen Hall,0.502633071647431,0.253535275679193,0.165768798516487,0.142164262108271
Payton Tolle,0.290417071160648,0.139639066333529,0.0779402482534472,0.0511786952207562
Tyson Lewis,0.502633071647431,0.253535275679193,0.165768798516487,0.142164262108271
Boston Bateman,0.409134368496522,0.216874171956199,0.146112094073452,0.120091179825205
Bryce Cunningham,0.383915774311556,0.1757079398848,0.0958826021993889,0.0706023267355863
Cole Mathis,0.290417071160648,0.139639066333529,0.0779402482534472,0.0511786952207562
Ryan Sloan,0.528167625474204,0.253535275679193,0.165768798516487,0.142164262108271
Carter Johnson,0.528167625474204,0.253535275679193,0.165768798516487,0.142164262108271
Bryce Meccage,0.383599814669749,0.216874171956199,0.146112094073452,0.120091179825205
Khal Stephen,0.349933699649488,0.157673503109165,0.0869114252264177,0.060890510978171
Billy Amick,0.264882517333874,0.139639066333529,0.0779402482534472,0.0511786952207562
Ethan Anderson,0.290417071160648,0.139639066333529,0.0779402482534472,0.0511786952207562
Carter Holton,0.290417071160648,0.139639066333529,0.0779402482534472,0.0511786952207562
Griffin Burkholder,0.383599814669749,0.216874171956199,0.146112094073452,0.120091179825205
Ivan Luciano,0.324083186180908,0.198839735180563,0.137140917100481,0.11037936406779
Dylan Dreiling,0.264882517333874,0.139639066333529,0.0779402482534472,0.0511786952207562
Blake Larson,0.324083186180908,0.198839735180563,0.137140917100481,0.11037936406779
Dasan Hill,0.502633071647431,0.253535275679193,0.165768798516487,0.142164262108271
Aiden May,0.349933699649488,0.157673503109165,0.0869114252264177,0.060890510978171
Luke Holman,0.349933699649488,0.157673503109165,0.0869114252264177,0.060890510978171
Ethan Schiefelbein,0.409134368496522,0.216874171956199,0.146112094073452,0.120091179825205
Gage Jump,0.290417071160648,0.139639066333529,0.0779402482534472,0.0511786952207562
Ryan Johnson,0.349933699649488,0.157673503109165,0.0869114252264177,0.060890510978171
Josh Kuroda-Grauer,0.290417071160648,0.139639066333529,0.0779402482534472,0.0511786952207562
Drew Beam,0.290417071160648,0.139639066333529,0.0779402482534472,0.0511786952207562
Cole Messina,0.230900442671806,0.121604629557893,0.0689690712804763,0.0497602347500059
Nick McLain,0.230900442671806,0.121604629557893,0.0689690712804763,0.0497602347500059
Kevin Bazzell,0.349933699649488,0.157673503109165,0.0869114252264177,0.060890510978171
Brian Holiday,0.230900442671806,0.121604629557893,0.0689690712804763,0.0497602347500059
Nate Dohm,0.264882517333874,0.139639066333529,0.0779402482534472,0.0511786952207562
Josh Hartle,0.349933699649488,0.157673503109165,0.0869114252264177,0.060890510978171
Joey Oakie,0.44311644315859,0.234908608731834,0.155083271046423,0.129802995582621
Josh Randall,0.290417071160648,0.139639066333529,0.0779402482534472,0.0511786952207562
Brandon Neely,0.230900442671806,0.121604629557893,0.0689690712804763,0.0497602347500059
Mike Sirota,0.349933699649488,0.157673503109165,0.0869114252264177,0.060890510978171
Cobb Hightower,0.324083186180908,0.198839735180563,0.137140917100481,0.11037936406779
Thatcher Hurd,0.349933699649488,0.157673503109165,0.0869114252264177,0.060890510978171
Ronny Cruz,0.324083186180908,0.198839735180563,0.137140917100481,0.11037936406779
Hunter Cranton,0.349933699649488,0.157673503109165,0.0869114252264177,0.060890510978171
Gage Miller,0.230900442671806,0.121604629557893,0.0689690712804763,0.0497602347500059
Jaron DeBerry,0.290417071160648,0.139639066333529,0.0779402482534472,0.0511786952207562
Nathan Flewelling,0.324083186180908,0.198839735180563,0.137140917100481,0.11037936406779
Johnny King,0.349617740007682,0.198839735180563,0.137140917100481,0.11037936406779
Khadim Diaw,0.264882517333874,0.139639066333529,0.0779402482534472,0.0511786952207562
Austin Overn,0.264882517333874,0.139639066333529,0.0779402482534472,0.0511786952207562
Chase Harlan,0.324083186180908,0.198839735180563,0.137140917100481,0.11037936406779
Luke Sinnard,0.324399145822714,0.157673503109165,0.0869114252264177,0.060890510978171
John Spikerman,0.290417071160648,0.139639066333529,0.0779402482534472,0.0511786952207562
Ryan Forcucci,0.324399145822714,0.157673503109165,0.0869114252264177,0.060890510978171
Daniel Eagen,0.324399145822714,0.157673503109165,0.0869114252264177,0.060890510978171
