name,pick_9,pick_37,pick_47,pick_83,pick_112
Travis Bazzana,0.594761556174939,0.246465727954539,0.304564976375169,0.513722270689437,0.717010567495598
Chase Burns,0.561931415540515,0.246465727954539,0.304564976375169,0.513722270689437,0.717010567495598
Charlie Condon,0.561931415540515,0.246465727954539,0.304564976375169,0.513722270689437,0.717010567495598
Nick Kurtz,0.565844818787859,0.238217845413512,0.213838268423871,0.126071791261166,0.0814416467073683
Hagen Smith,0.594761556174939,0.246465727954539,0.304564976375169,0.513722270689437,0.717010567495598
Jac Caglianone,0.561931415540515,0.246465727954539,0.304564976375169,0.513722270689437,0.717010567495598
JJ Wetherholt,0.594761556174939,0.246465727954539,0.304564976375169,0.513722270689437,0.717010567495598
Christian Moore,0.533014678153436,0.238217845413512,0.213838268423871,0.126071791261166,0.0814416467073683
Konnor Griffin,0.59221534700047,0.30154245553106,0.318402291246554,0.379097699822336,0.458426775948517
Seaver King,0.565844818787859,0.242341786684026,0.25920162239952,0.319897030975301,0.399226107101483
Bryce Rainer,0.59221534700047,0.30154245553106,0.318402291246554,0.379097699822336,0.458426775948517
Braden Montgomery,0.533014678153436,0.242341786684026,0.25920162239952,0.319897030975301,0.399226107101483
Cam Smith,0.533014678153436,0.242341786684026,0.25920162239952,0.319897030975301,0.399226107101483
Jurrangelo Cijntje,0.490816431064704,0.231453726179979,0.193446903814891,0.113621566129481,0.0710235267639727
Braylon Payne,0.367130183831003,0.277188496578022,0.212550583642803,0.150851765562722,0.114125797098
Carson Benge,0.565844818787859,0.238217845413512,0.213838268423871,0.126071791261166,0.0814416467073683
Trey Yesavage,0.565844818787859,0.238217845413512,0.213838268423871,0.126071791261166,0.0814416467073683
Kaelen Culpepper,0.490816431064704,0.231453726179979,0.193446903814891,0.113621566129481,0.0710235267639727
Vance Honeycutt,0.45798629043028,0.231453726179979,0.193446903814891,0.113621566129481,0.0710235267639727
Kellon Lindsey,0.59221534700047,0.297418514260546,0.273038937270906,0.1852724601082,0.140642315554403
Kash Mayfield,0.59221534700047,0.297418514260546,0.273038937270906,0.1852724601082,0.140642315554403
Ben Hess,0.415788043341548,0.224720776955484,0.17339840930533,0.102636331422584,0.0629743275074693
Dante Nori,0.367130183831003,0.277188496578022,0.212550583642803,0.150851765562722,0.114125797098
Walker Janek,0.533014678153436,0.238217845413512,0.213838268423871,0.126071791261166,0.0814416467073683
Slade Caldwell,0.550017099911738,0.290654395027013,0.252647572661926,0.172822234976515,0.130224195611007
Malcolm Moore,0.533014678153436,0.238217845413512,0.213838268423871,0.126071791261166,0.0814416467073683
Ryan Waldschmidt,0.565844818787859,0.238217845413512,0.213838268423871,0.126071791261166,0.0814416467073683
Griff O'Ferrall,0.415788043341548,0.224720776955484,0.17339840930533,0.102636331422584,0.0629743275074693
Blake Burke,0.415788043341548,0.224720776955484,0.17339840930533,0.102636331422584,0.0629743275074693
JD Dix,0.474988712188582,0.283921445802518,0.232599078152364,0.161837000269618,0.122174996354503
Braylon Doughty,0.625045487634894,0.297418514260546,0.273038937270906,0.1852724601082,0.140642315554403
Levi Sterling,0.474988712188582,0.283921445802518,0.232599078152364,0.161837000269618,0.122174996354503
Brody Brecht,0.533014678153436,0.242341786684026,0.25920162239952,0.319897030975301,0.399226107101483
Caleb Lomavita,0.45798629043028,0.231453726179979,0.193446903814891,0.113621566129481,0.0710235267639727
Tommy White,0.490816431064704,0.231453726179979,0.193446903814891,0.113621566129481,0.0710235267639727
David Shields,0.474988712188582,0.283921445802518,0.232599078152364,0.161837000269618,0.122174996354503
Jared Thomas,0.382957902707125,0.224720776955484,0.17339840930533,0.102636331422584,0.0629743275074693
Caleb Bonemer,0.399960324465426,0.277188496578022,0.212550583642803,0.150851765562722,0.114125797098
Luke Dickerson,0.399960324465426,0.277188496578022,0.212550583642803,0.150851765562722,0.114125797098
Chris Cortez,0.490816431064704,0.231453726179979,0.193446903814891,0.113621566129481,0.0710235267639727
Jonathan Santucci,0.415788043341548,0.224720776955484,0.17339840930533,0.102636331422584,0.0629743275074693
Wyatt Sanford,0.59221534700047,0.297418514260546,0.273038937270906,0.1852724601082,0.140642315554403
Jacob Cozart,0.490816431064704,0.231453726179979,0.193446903814891,0.113621566129481,0.0710235267639727
Owen Hall,0.59221534700047,0.297418514260546,0.273038937270906,0.1852724601082,0.140642315554403
Payton Tolle,0.340759655618392,0.217987827730988,0.153349914795769,0.0916510967156876,0.0549251282509664
Tyson Lewis,0.59221534700047,0.297418514260546,0.273038937270906,0.1852724601082,0.140642315554403
Boston Bateman,0.474988712188582,0.283921445802518,0.232599078152364,0.161837000269618,0.122174996354503
Bryce Cunningham,0.45798629043028,0.231453726179979,0.193446903814891,0.113621566129481,0.0710235267639727
Cole Mathis,0.340759655618392,0.217987827730988,0.153349914795769,0.0916510967156876,0.0549251282509664
Ryan Sloan,0.625045487634894,0.297418514260546,0.273038937270906,0.1852724601082,0.140642315554403
Carter Johnson,0.625045487634894,0.297418514260546,0.273038937270906,0.1852724601082,0.140642315554403
Bryce Meccage,0.442158571554159,0.283921445802518,0.232599078152364,0.161837000269618,0.122174996354503
Khal Stephen,0.415788043341548,0.224720776955484,0.17339840930533,0.102636331422584,0.0629743275074693
Billy Amick,0.307929514983969,0.217987827730988,0.153349914795769,0.0916510967156876,0.0549251282509664
Ethan Anderson,0.340759655618392,0.217987827730988,0.153349914795769,0.0916510967156876,0.0549251282509664
Carter Holton,0.340759655618392,0.217987827730988,0.153349914795769,0.0916510967156876,0.0549251282509664
Griffin Burkholder,0.442158571554159,0.283921445802518,0.232599078152364,0.161837000269618,0.122174996354503
Ivan Luciano,0.367130183831003,0.277188496578022,0.212550583642803,0.150851765562722,0.114125797098
Dylan Dreiling,0.307929514983969,0.217987827730988,0.153349914795769,0.0916510967156876,0.0549251282509664
Blake Larson,0.367130183831003,0.277188496578022,0.212550583642803,0.150851765562722,0.114125797098
Dasan Hill,0.59221534700047,0.297418514260546,0.273038937270906,0.1852724601082,0.140642315554403
Aiden May,0.415788043341548,0.224720776955484,0.17339840930533,0.102636331422584,0.0629743275074693
Luke Holman,0.415788043341548,0.224720776955484,0.17339840930533,0.102636331422584,0.0629743275074693
Ethan Schiefelbein,0.474988712188582,0.283921445802518,0.232599078152364,0.161837000269618,0.122174996354503
Gage Jump,0.340759655618392,0.217987827730988,0.153349914795769,0.0916510967156876,0.0549251282509664
Ryan Johnson,0.415788043341548,0.224720776955484,0.17339840930533,0.102636331422584,0.0629743275074693
Josh Kuroda-Grauer,0.340759655618392,0.217987827730988,0.153349914795769,0.0916510967156876,0.0549251282509664
Drew Beam,0.340759655618392,0.217987827730988,0.153349914795769,0.0916510967156876,0.0549251282509664
Cole Messina,0.265731267895236,0.211254878506493,0.133301420286208,0.0806658620087912,0.0512408528295498
Nick McLain,0.265731267895236,0.211254878506493,0.133301420286208,0.0806658620087912,0.0512408528295498
Kevin Bazzell,0.415788043341548,0.224720776955484,0.17339840930533,0.102636331422584,0.0629743275074693
Brian Holiday,0.265731267895236,0.211254878506493,0.133301420286208,0.0806658620087912,0.0512408528295498
