name,pick_30,pick_65,pick_103,pick_133
Travis Bazzana,0.283544317434165,0.409143623532303,0.63340081516933,0.912099989590222
Chase Burns,0.276248730626515,0.409143623532303,0.63340081516933,0.912099989590222
Charlie Condon,0.276248730626515,0.409143623532303,0.63340081516933,0.912099989590222
Nick Kurtz,0.277118375792592,0.169955029842519,0.0799197001535004,0.0849928553330601
Hagen Smith,0.283544317434165,0.409143623532303,0.63340081516933,0.912099989590222
Jac Caglianone,0.276248730626515,0.409143623532303,0.63340081516933,0.912099989590222
JJ Wetherholt,0.283544317434165,0.409143623532303,0.63340081516933,0.912099989590222
Christian Moore,0.269822788984942,0.169955029842519,0.0799197001535004,0.0849928553330601
Konnor Griffin,0.329023457831976,0.348749995534445,0.415860926508449,0.557747091308675
Seaver King,0.277118375792592,0.289549326687411,0.356660257661415,0.498546422461641
Bryce Rainer,0.329023457831976,0.348749995534445,0.415860926508449,0.557747091308675
Braden Montgomery,0.269822788984942,0.289549326687411,0.356660257661415,0.498546422461641
Cam Smith,0.269822788984942,0.289549326687411,0.356660257661415,0.498546422461641
Jurrangelo Cijntje,0.256381145389538,0.153534234972186,0.0714447267923592,0.0700407266977373
Braylon Payne,0.266811766622815,0.181701174602762,0.117872230128211,0.105384120027509
Carson Benge,0.277118375792592,0.169955029842519,0.0799197001535004,0.0849928553330601
Trey Yesavage,0.277118375792592,0.169955029842519,0.0799197001535004,0.0849928553330601
Kaelen Culpepper,0.256381145389538,0.153534234972186,0.0714447267923592,0.0700407266977373
Vance Honeycutt,0.249085558581888,0.153534234972186,0.0714447267923592,0.0700407266977373
Kellon Lindsey,0.329023457831976,0.229155698689553,0.139120369000534,0.144193524180094
Kash Mayfield,0.329023457831976,0.229155698689553,0.139120369000534,0.144193524180094
Ben Hess,0.235643914986484,0.138017370363957,0.0650581440367677,0.0581120889391056
Dante Nori,0.266811766622815,0.181701174602762,0.117872230128211,0.105384120027509
Walker Janek,0.269822788984942,0.169955029842519,0.0799197001535004,0.0849928553330601
Slade Caldwell,0.315581814236572,0.21273490381922,0.130645395639393,0.129241395544772
Malcolm Moore,0.269822788984942,0.169955029842519,0.0799197001535004,0.0849928553330601
Ryan Waldschmidt,0.277118375792592,0.169955029842519,0.0799197001535004,0.0849928553330601
Griff O'Ferrall,0.235643914986484,0.138017370363957,0.0650581440367677,0.0581120889391056
Blake Burke,0.235643914986484,0.138017370363957,0.0650581440367677,0.0581120889391056
JD Dix,0.294844583833518,0.197218039210991,0.124258812883802,0.11731275778614
