name,pick_2,pick_51,pick_71,pick_87,pick_117
Travis Bazzana,0.864020753244039,0.327804675743421,0.444003172584681,0.536961970057688,0.76346042989908
Chase Burns,0.822679094667358,0.327804675743421,0.444003172584681,0.536961970057688,0.76346042989908
Charlie Condon,0.822679094667358,0.327804675743421,0.444003172584681,0.536961970057688,0.76346042989908
Nick Kurtz,0.827607083941791,0.204086437628015,0.155327283648734,0.116319960465309,0.0822871725706284
Hagen Smith,0.864020753244039,0.327804675743421,0.444003172584681,0.536961970057688,0.76346042989908
Jac Caglianone,0.822679094667358,0.327804675743421,0.444003172584681,0.536961970057688,0.76346042989908
JJ Wetherholt,0.864020753244039,0.327804675743421,0.444003172584681,0.536961970057688,0.76346042989908
Christian Moore,0.78626542536511,0.204086437628015,0.155327283648734,0.116319960465309,0.0822871725706284
Konnor Griffin,0.845466094212144,0.325146225532752,0.358865896963742,0.385841634108533,0.482074470081888
Seaver King,0.827607083941791,0.265945556685718,0.299665228116708,0.326640965261499,0.422873801234854
Bryce Rainer,0.845466094212144,0.325146225532752,0.358865896963742,0.385841634108533,0.482074470081888
Braden Montgomery,0.78626542536511,0.265945556685718,0.299665228116708,0.326640965261499,0.422873801234854
Cam Smith,0.78626542536511,0.265945556685718,0.299665228116708,0.326640965261499,0.422873801234854
Jurrangelo Cijntje,0.734481643778602,0.184577421849846,0.140230012024617,0.104752084164434,0.0707895267482023
Braylon Payne,0.566089773722575,0.205695159411683,0.171418038256082,0.143996341331601,0.11204444541455
Carson Benge,0.827607083941791,0.204086437628015,0.155327283648734,0.116319960465309,0.0822871725706284
Trey Yesavage,0.827607083941791,0.204086437628015,0.155327283648734,0.116319960465309,0.0822871725706284
Kaelen Culpepper,0.734481643778602,0.184577421849846,0.140230012024617,0.104752084164434,0.0707895267482023
Vance Honeycutt,0.693139985201921,0.184577421849846,0.140230012024617,0.104752084164434,0.0707895267482023
Kellon Lindsey,0.845466094212144,0.263287106475049,0.214527952495768,0.175520629312343,0.141487841417663
Kash Mayfield,0.845466094212144,0.263287106475049,0.214527952495768,0.175520629312343,0.141487841417663
Ben Hess,0.641356203615412,0.165535956207247,0.126223690716832,0.0947738783245005,0.0618166516578589
Dante Nori,0.566089773722575,0.205695159411683,0.171418038256082,0.143996341331601,0.11204444541455
Walker Janek,0.78626542536511,0.204086437628015,0.155327283648734,0.116319960465309,0.0822871725706284
Slade Caldwell,0.793682312625636,0.24377809069688,0.199430680871651,0.163952753011469,0.129990195595237
Malcolm Moore,0.78626542536511,0.204086437628015,0.155327283648734,0.116319960465309,0.0822871725706284
Ryan Waldschmidt,0.827607083941791,0.204086437628015,0.155327283648734,0.116319960465309,0.0822871725706284
Griff O'Ferrall,0.641356203615412,0.165535956207247,0.126223690716832,0.0947738783245005,0.0618166516578589
Blake Burke,0.641356203615412,0.165535956207247,0.126223690716832,0.0947738783245005,0.0618166516578589
JD Dix,0.700556872462446,0.224736625054281,0.185424359563867,0.153974547171535,0.121017320504893
Braylon Doughty,0.886807752788826,0.263287106475049,0.214527952495768,0.175520629312343,0.141487841417663
Levi Sterling,0.700556872462446,0.224736625054281,0.185424359563867,0.153974547171535,0.121017320504893
Brody Brecht,0.78626542536511,0.265945556685718,0.299665228116708,0.326640965261499,0.422873801234854
Caleb Lomavita,0.693139985201921,0.184577421849846,0.140230012024617,0.104752084164434,0.0707895267482023
Tommy White,0.734481643778602,0.184577421849846,0.140230012024617,0.104752084164434,0.0707895267482023
David Shields,0.700556872462446,0.224736625054281,0.185424359563867,0.153974547171535,0.121017320504893
Jared Thomas,0.600014545038731,0.165535956207247,0.126223690716832,0.0947738783245005,0.0618166516578589
Caleb Bonemer,0.607431432299256,0.205695159411683,0.171418038256082,0.143996341331601,0.11204444541455
Luke Dickerson,0.607431432299256,0.205695159411683,0.171418038256082,0.143996341331601,0.11204444541455
Chris Cortez,0.734481643778602,0.184577421849846,0.140230012024617,0.104752084164434,0.0707895267482023
Jonathan Santucci,0.641356203615412,0.165535956207247,0.126223690716832,0.0947738783245005,0.0618166516578589
Wyatt Sanford,0.845466094212144,0.263287106475049,0.214527952495768,0.175520629312343,0.141487841417663
Jacob Cozart,0.734481643778602,0.184577421849846,0.140230012024617,0.104752084164434,0.0707895267482023
Owen Hall,0.845466094212144,0.263287106475049,0.214527952495768,0.175520629312343,0.141487841417663
Payton Tolle,0.548230763452222,0.146494490564649,0.112217369409048,0.0847956724845671,0.0528437765675162
Tyson Lewis,0.845466094212144,0.263287106475049,0.214527952495768,0.175520629312343,0.141487841417663
Boston Bateman,0.700556872462446,0.224736625054281,0.185424359563867,0.153974547171535,0.121017320504893
Bryce Cunningham,0.693139985201921,0.184577421849846,0.140230012024617,0.104752084164434,0.0707895267482023
Cole Mathis,0.548230763452222,0.146494490564649,0.112217369409048,0.0847956724845671,0.0528437765675162
Ryan Sloan,0.886807752788826,0.263287106475049,0.214527952495768,0.175520629312343,0.141487841417663
Carter Johnson,0.886807752788826,0.263287106475049,0.214527952495768,0.175520629312343,0.141487841417663
Bryce Meccage,0.659215213885765,0.224736625054281,0.185424359563867,0.153974547171535,0.121017320504893
Khal Stephen,0.641356203615412,0.165535956207247,0.126223690716832,0.0947738783245005,0.0618166516578589
Billy Amick,0.50688910487554,0.146494490564649,0.112217369409048,0.0847956724845671,0.0528437765675162
Ethan Anderson,0.548230763452222,0.146494490564649,0.112217369409048,0.0847956724845671,0.0528437765675162
Carter Holton,0.548230763452222,0.146494490564649,0.112217369409048,0.0847956724845671,0.0528437765675162
Griffin Burkholder,0.659215213885765,0.224736625054281,0.185424359563867,0.153974547171535,0.121017320504893
Ivan Luciano,0.566089773722575,0.205695159411683,0.171418038256082,0.143996341331601,0.11204444541455
Dylan Dreiling,0.50688910487554,0.146494490564649,0.112217369409048,0.0847956724845671,0.0528437765675162
Blake Larson,0.566089773722575,0.205695159411683,0.171418038256082,0.143996341331601,0.11204444541455
Dasan Hill,0.845466094212144,0.263287106475049,0.214527952495768,0.175520629312343,0.141487841417663
Aiden May,0.641356203615412,0.165535956207247,0.126223690716832,0.0947738783245005,0.0618166516578589
Luke Holman,0.641356203615412,0.165535956207247,0.126223690716832,0.0947738783245005,0.0618166516578589
Ethan Schiefelbein,0.700556872462446,0.224736625054281,0.185424359563867,0.153974547171535,0.121017320504893
Gage Jump,0.548230763452222,0.146494490564649,0.112217369409048,0.0847956724845671,0.0528437765675162
Ryan Johnson,0.641356203615412,0.165535956207247,0.126223690716832,0.0947738783245005,0.0618166516578589
Josh Kuroda-Grauer,0.548230763452222,0.146494490564649,0.112217369409048,0.0847956724845671,0.0528437765675162
Drew Beam,0.548230763452222,0.146494490564649,0.112217369409048,0.0847956724845671,0.0528437765675162
Cole Messina,0.455105323289032,0.12745302492205,0.0982110481012631,0.0748174666446334,0.0504182872298032
Nick McLain,0.455105323289032,0.12745302492205,0.0982110481012631,0.0748174666446334,0.0504182872298032
Kevin Bazzell,0.641356203615412,0.165535956207247,0.126223690716832,0.0947738783245005,0.0618166516578589
Brian Holiday,0.455105323289032,0.12745302492205,0.0982110481012631,0.0748174666446334,0.0504182872298032
Nate Dohm,0.50688910487554,0.146494490564649,0.112217369409048,0.0847956724845671,0.0528437765675162
Josh Hartle,0.641356203615412,0.165535956207247,0.126223690716832,0.0947738783245005,0.0618166516578589
Joey Oakie,0.752340654048955,0.24377809069688,0.199430680871651,0.163952753011469,0.129990195595237
Josh Randall,0.548230763452222,0.146494490564649,0.112217369409048,0.0847956724845671,0.0528437765675162
Brandon Neely,0.455105323289032,0.12745302492205,0.0982110481012631,0.0748174666446334,0.0504182872298032
Mike Sirota,0.641356203615412,0.165535956207247,0.126223690716832,0.0947738783245005,0.0618166516578589
Cobb Hightower,0.566089773722575,0.205695159411683,0.171418038256082,0.143996341331601,0.11204444541455
Thatcher Hurd,0.641356203615412,0.165535956207247,0.126223690716832,0.0947738783245005,0.0618166516578589
Ronny Cruz,0.566089773722575,0.205695159411683,0.171418038256082,0.143996341331601,0.11204444541455
Hunter Cranton,0.641356203615412,0.165535956207247,0.126223690716832,0.0947738783245005,0.0618166516578589
Gage Miller,0.455105323289032,0.12745302492205,0.0982110481012631,0.0748174666446334,0.0504182872298032
Jaron DeBerry,0.548230763452222,0.146494490564649,0.112217369409048,0.0847956724845671,0.0528437765675162
Nathan Flewelling,0.566089773722575,0.205695159411683,0.171418038256082,0.143996341331601,0.11204444541455
Johnny King,0.607431432299256,0.205695159411683,0.171418038256082,0.143996341331601,0.11204444541455
Khadim Diaw,0.50688910487554,0.146494490564649,0.112217369409048,0.0847956724845671,0.0528437765675162
Austin Overn,0.50688910487554,0.146494490564649,0.112217369409048,0.0847956724845671,0.0528437765675162
Chase Harlan,0.566089773722575,0.205695159411683,0.171418038256082,0.143996341331601,0.11204444541455
Luke Sinnard,0.600014545038731,0.165535956207247,0.126223690716832,0.0947738783245005,0.0618166516578589
John Spikerman,0.548230763452222,0.146494490564649,0.112217369409048,0.0847956724845671,0.0528437765675162
Ryan Forcucci,0.600014545038731,0.165535956207247,0.126223690716832,0.0947738783245005,0.0618166516578589
Daniel Eagen,0.600014545038731,0.165535956207247,0.126223690716832,0.0947738783245005,0.0618166516578589
Casey Cook,0.548230763452222,0.146494490564649,0.112217369409048,0.0847956724845671,0.0528437765675162
Rodney Green,0.413763664712351,0.12745302492205,0.0982110481012631,0.0748174666446334,0.0504182872298032
Blake Wright,0.455105323289032,0.12745302492205,0.0982110481012631,0.0748174666446334,0.0504182872298032
Casey Saucke,0.455105323289032,0.12745302492205,0.0982110481012631,0.0748174666446334,0.0504182872298032
Jackson Kent,0.455105323289032,0.12745302492205,0.0982110481012631,0.0748174666446334,0.0504182872298032
Ryan Campos,0.455105323289032,0.12745302492205,0.0982110481012631,0.0748174666446334,0.0504182872298032
Austin Gordon,0.455105323289032,0.12745302492205,0.0982110481012631,0.0748174666446334,0.0504182872298032
Eddie Rynders,0.566089773722575,0.205695159411683,0.171418038256082,0.143996341331601,0.11204444541455
Rafe Schlesinger,0.455105323289032,0.12745302492205,0.0982110481012631,0.0748174666446334,0.0504182872298032
Michael Massey,0.641356203615412,0.165535956207247,0.126223690716832,0.0947738783245005,0.0618166516578589
Zach Ehrhard,0.50688910487554,0.146494490564649,0.112217369409048,0.0847956724845671,0.0528437765675162
Dakota Jordan,0.50688910487554,0.146494490564649,0.112217369409048,0.0847956724845671,0.0528437765675162
Peyton Stovall,0.548230763452222,0.146494490564649,0.112217369409048,0.0847956724845671,0.0528437765675162
Tyson Neighbors,0.641356203615412,0.165535956207247,0.126223690716832,0.0947738783245005,0.0618166516578589
Gage Ziehl,0.455105323289032,0.12745302492205,0.0982110481012631,0.0748174666446334,0.0504182872298032
Ty Southisene,0.472964333559385,0.186653693769084,0.157411716948297,0.134018135491667,0.109618956076838
Josh Caron,0.548230763452222,0.146494490564649,0.112217369409048,0.0847956724845671,0.0528437765675162
Fenwick Trimble,0.455105323289032,0.12745302492205,0.0982110481012631,0.0748174666446334,0.0504182872298032
Marco Dinges,0.413763664712351,0.12745302492205,0.0982110481012631,0.0748174666446334,0.0504182872298032
Nate Knowles,0.413763664712351,0.12745302492205,0.0982110481012631,0.0748174666446334,0.0504182872298032
Sean Keys,0.641356203615412,0.165535956207247,0.126223690716832,0.0947738783245005,0.0618166516578589
Jaime Ferrer,0.227512784385971,0.0893700936368531,0.0701984054856936,0.0548610549647662,0.045567308554378
Chase Allsup,0.227512784385971,0.0893700936368531,0.0701984054856936,0.0548610549647662,0.045567308554378
Jakob Wright,0.227512784385971,0.0893700936368531,0.0701984054856936,0.0548610549647662,0.045567308554378
Herick Hernandez,0.227512784385971,0.0893700936368531,0.0701984054856936,0.0548610549647662,0.045567308554378
Carson DeMartini,0.50688910487554,0.146494490564649,0.112217369409048,0.0847956724845671,0.0528437765675162
Parker Smith,0.413763664712351,0.12745302492205,0.0982110481012631,0.0748174666446334,0.0504182872298032
Tytus Cissell,0.566089773722575,0.205695159411683,0.171418038256082,0.143996341331601,0.11204444541455
David Hagaman,0.693139985201921,0.184577421849846,0.140230012024617,0.104752084164434,0.0707895267482023
Kavares Tears,0.600014545038731,0.165535956207247,0.126223690716832,0.0947738783245005,0.0618166516578589
Clark Candiotti,0.227512784385971,0.0893700936368531,0.0701984054856936,0.0548610549647662,0.045567308554378
Nick Mitchell,0.227512784385971,0.0893700936368531,0.0701984054856936,0.0548610549647662,0.045567308554378
Sam Stuhr,0.227512784385971,0.0893700936368531,0.0701984054856936,0.0548610549647662,0.045567308554378
A.J. Causey,0.227512784385971,0.0893700936368531,0.0701984054856936,0.0548610549647662,0.045567308554378
Sam Antonacci,0.227512784385971,0.0893700936368531,0.0701984054856936,0.0548610549647662,0.045567308554378
Braden Davis,0.50688910487554,0.146494490564649,0.112217369409048,0.0847956724845671,0.0528437765675162
Dylan Jordan,0.286713453233005,0.148570762483887,0.129399074332728,0.1140617238118,0.104767977401412
Trey Snyder,0.472964333559385,0.186653693769084,0.157411716948297,0.134018135491667,0.109618956076838
Will Taylor,0.227512784385971,0.0893700936368531,0.0701984054856936,0.0548610549647662,0.045567308554378
