name,pick_28,pick_101,pick_131
Travis Bazzana,0.297840488874728,0.618300917846571,0.893520044628829
Chase Burns,0.288113039797862,0.618300917846571,0.893520044628829
Charlie Condon,0.288113039797862,0.618300917846571,0.893520044628829
Nick Kurtz,0.289272566685964,0.0821885526798128,0.084654644987756
Hagen Smith,0.297840488874728,0.618300917846571,0.893520044628829
Jac Caglianone,0.288113039797862,0.618300917846571,0.893520044628829
JJ Wetherholt,0.297840488874728,0.618300917846571,0.893520044628829
Christian Moore,0.279545117609098,0.0821885526798128,0.084654644987756
Konnor Griffin,0.338745786456132,0.409445404110226,0.548288013655327
Seaver King,0.289272566685964,0.350244735263192,0.489087344808292
Bryce Rainer,0.338745786456132,0.409445404110226,0.548288013655327
Braden Montgomery,0.279545117609098,0.350244735263192,0.489087344808292
Cam Smith,0.279545117609098,0.350244735263192,0.489087344808292
Jurrangelo Cijntje,0.263364749871472,0.0737088972867748,0.070134326704045
Braylon Payne,0.261022336012656,0.120002356522681,0.10621666070089
Carson Benge,0.289272566685964,0.0821885526798128,0.084654644987756
Trey Yesavage,0.289272566685964,0.0821885526798128,0.084654644987756
Kaelen Culpepper,0.263364749871472,0.0737088972867748,0.070134326704045
Vance Honeycutt,0.253637300794606,0.0737088972867748,0.070134326704045
Kellon Lindsey,0.338745786456132,0.141389221526847,0.14385531383479
Kash Mayfield,0.338745786456132,0.141389221526847,0.14385531383479
Ben Hess,0.23745693305698,0.0672552924812103,0.0585751592789501
Dante Nori,0.261022336012656,0.120002356522681,0.10621666070089
Walker Janek,0.279545117609098,0.0821885526798128,0.084654644987756
Slade Caldwell,0.322565418718506,0.132909566133809,0.12933499555108
Malcolm Moore,0.279545117609098,0.0821885526798128,0.084654644987756
Ryan Waldschmidt,0.289272566685964,0.0821885526798128,0.084654644987756
Griff O'Ferrall,0.23745693305698,0.0672552924812103,0.0585751592789501
Blake Burke,0.23745693305698,0.0672552924812103,0.0585751592789501
JD Dix,0.296657601904014,0.126455961328245,0.117775828125984
Braylon Doughty,0.348473235532998,0.141389221526847,0.14385531383479
Levi Sterling,0.296657601904014,0.126455961328245,0.117775828125984
Brody Brecht,0.279545117609098,0.350244735263192,0.489087344808292
Caleb Lomavita,0.253637300794606,0.0737088972867748,0.070134326704045
Tommy White,0.263364749871472,0.0737088972867748,0.070134326704045
David Shields,0.296657601904014,0.126455961328245,0.117775828125984
Jared Thomas,0.227729483980113,0.0672552924812103,0.0585751592789501
Caleb Bonemer,0.270749785089522,0.120002356522681,0.10621666070089
Luke Dickerson,0.270749785089522,0.120002356522681,0.10621666070089
Chris Cortez,0.263364749871472,0.0737088972867748,0.070134326704045
Jonathan Santucci,0.23745693305698,0.0672552924812103,0.0585751592789501
Wyatt Sanford,0.338745786456132,0.141389221526847,0.14385531383479
Jacob Cozart,0.263364749871472,0.0737088972867748,0.070134326704045
Owen Hall,0.338745786456132,0.141389221526847,0.14385531383479
Payton Tolle,0.211549116242488,0.0608016876756468,0.0470159918538556
Tyson Lewis,0.338745786456132,0.141389221526847,0.14385531383479
Boston Bateman,0.296657601904014,0.126455961328245,0.117775828125984
Bryce Cunningham,0.253637300794606,0.0737088972867748,0.070134326704045
Cole Mathis,0.211549116242488,0.0608016876756468,0.0470159918538556
Ryan Sloan,0.348473235532998,0.141389221526847,0.14385531383479
Carter Johnson,0.348473235532998,0.141389221526847,0.14385531383479
Bryce Meccage,0.286930152827148,0.126455961328245,0.117775828125984
Khal Stephen,0.23745693305698,0.0672552924812103,0.0585751592789501
Billy Amick,0.201821667165621,0.0608016876756468,0.0470159918538556
Ethan Anderson,0.211549116242488,0.0608016876756468,0.0470159918538556
Carter Holton,0.211549116242488,0.0608016876756468,0.0470159918538556
