name,pick_23,pick_98,pick_128
Travis Bazzana,0.353719347302993,0.600871143320382,0.865650127186739
Chase Burns,0.337912242553086,0.600871143320382,0.865650127186739
Charlie Condon,0.337912242553086,0.600871143320382,0.865650127186739
Nick Kurtz,0.339796473746251,0.0895024257767051,0.0841473294697999
Hagen Smith,0.353719347302993,0.600871143320382,0.865650127186739
Jac Caglianone,0.337912242553086,0.600871143320382,0.865650127186739
JJ Wetherholt,0.353719347302993,0.600871143320382,0.865650127186739
Christian Moore,0.323989368996344,0.0895024257767051,0.0841473294697999
Konnor Griffin,0.383190037843378,0.404387453395577,0.534099397175304
Seaver King,0.339796473746251,0.345186784548544,0.474898728328269
Bryce Rainer,0.383190037843378,0.404387453395577,0.534099397175304
Braden Montgomery,0.323989368996344,0.345186784548544,0.474898728328269
Cam Smith,0.323989368996344,0.345186784548544,0.474898728328269
Jurrangelo Cijntje,0.300962190903164,0.0803610087605593,0.0702747267135072
Braylon Payne,0.266687189314115,0.125143924696021,0.107465471710959
Carson Benge,0.339796473746251,0.0895024257767051,0.0841473294697999
Trey Yesavage,0.339796473746251,0.0895024257767051,0.0841473294697999
Kaelen Culpepper,0.300962190903164,0.0803610087605593,0.0702747267135072
Vance Honeycutt,0.285155086153256,0.0803610087605593,0.0702747267135072
Kellon Lindsey,0.383190037843378,0.148703094623739,0.143347998316834
Kash Mayfield,0.383190037843378,0.148703094623739,0.143347998316834
Ben Hess,0.262127908060076,0.073152132304773,0.0592697647887161
Dante Nori,0.266687189314115,0.125143924696021,0.107465471710959
Walker Janek,0.323989368996344,0.0895024257767051,0.0841473294697999
Slade Caldwell,0.360162859750198,0.139561677607593,0.129475395560542
Malcolm Moore,0.323989368996344,0.0895024257767051,0.0841473294697999
Ryan Waldschmidt,0.339796473746251,0.0895024257767051,0.0841473294697999
Griff O'Ferrall,0.262127908060076,0.073152132304773,0.0592697647887161
Blake Burke,0.262127908060076,0.073152132304773,0.0592697647887161
JD Dix,0.32132857690711,0.132352801151807,0.11847043363575
Braylon Doughty,0.398997142593286,0.148703094623739,0.143347998316834
Levi Sterling,0.32132857690711,0.132352801151807,0.11847043363575
